Date,SHY,SOXX,SPY,TLT,XLB,XLE,XLF,XLI,XLP,XLU,XLV,XLY,^VIX
2000-01-03,,,91.36752319335938,,7.228255271911621,6.655919075012207,11.090907096862793,18.074872970581055,12.138818740844727,5.513054370880127,20.44074058532715,11.151033401489258,24.209999084472656
2000-01-04,,,87.79450225830078,,7.158665657043457,6.5306315422058105,10.606054306030273,17.575517654418945,11.7969970703125,5.346753120422363,19.976900100708008,10.815573692321777,27.010000228881836
2000-01-05,,,87.9515380859375,,7.454410076141357,6.702898025512695,10.522723197937012,17.49718475341797,12.005426406860352,5.4816789627075195,19.797691345214844,10.682551383972168,26.40999984741211
2000-01-06,,,86.53801727294922,,7.6457743644714355,6.961304187774658,10.984843254089355,17.732175827026367,12.230530738830566,5.472265243530273,19.86094093322754,10.804007530212402,25.729999542236328
2000-01-07,,,91.5638427734375,,7.641426086425781,7.0356974601745605,11.166661262512207,18.407779693603516,13.00588321685791,5.519330024719238,20.103403091430664,11.31297779083252,21.719999313354492
2000-01-10,,,91.87793731689453,,7.615334510803223,6.97696590423584,10.96968936920166,18.407779693603516,12.714083671569824,5.538156509399414,22.159074783325195,11.255141258239746,21.709999084472656
2000-01-11,,,90.7785873413086,,7.523995399475098,6.984796524047852,10.787877082824707,18.172779083251953,12.714083671569824,5.478541374206543,21.568727493286133,11.191515922546387,22.5
2000-01-12,,,89.87548065185547,,7.415270805358887,6.953476428985596,10.999994277954102,17.957382202148438,12.780781745910645,5.422060966491699,21.210309982299805,11.127896308898926,22.84000015258789
2000-01-13,,,91.09266662597656,,7.445714950561523,7.074845314025879,11.333327293395996,18.300077438354492,12.847474098205566,5.371855735778809,21.842823028564453,11.18572998046875,21.709999084472656
2000-01-14,,,92.3294906616211,,7.3935227394104,7.031780242919922,11.598480224609375,18.172779083251953,12.889163970947266,5.415785312652588,21.65306854248047,11.156819343566895,19.65999984741211
2000-01-18,,,91.60311126708984,,7.215211391448975,7.117915630340576,11.212115287780762,18.15321159362793,12.672399520874023,5.393820285797119,21.252471923828125,11.093195915222168,21.5
2000-01-19,,,92.34912872314453,,7.0760416984558105,7.094424724578857,11.174237251281738,18.094463348388672,12.764105796813965,5.396961212158203,21.758474349975586,11.070058822631836,21.719999313354492
2000-01-20,,,90.93565368652344,,6.8890252113342285,7.094424724578857,10.96968936920166,17.976966857910156,12.589021682739258,5.422060966491699,21.589813232421875,10.919681549072266,21.75
2000-01-21,,,90.73931121826172,,6.919468879699707,7.290186882019043,10.83332633972168,17.75176239013672,12.447290420532227,5.597776412963867,21.547645568847656,10.69411849975586,20.81999969482422
2000-01-24,,,88.16752624511719,,6.7368059158325195,7.031780242919922,10.636359214782715,17.242599487304688,12.088794708251953,5.522467613220215,20.904590606689453,10.295042991638184,24.06999969482422
2000-01-25,,,89.1687240600586,,6.610678195953369,7.016120910644531,10.74999713897705,17.144695281982422,11.938732147216797,5.393820285797119,21.052169799804688,10.358662605285645,23.020000457763672
2000-01-26,,,88.46196746826172,,6.610678195953369,6.906493186950684,11.151510238647461,17.281774520874023,12.047111511230469,5.368717193603516,20.957304000854492,10.433845520019531,23.030000686645508
2000-01-27,,,88.10863494873047,,6.645473003387451,6.765544891357422,11.272716522216797,17.37969398498535,12.272218704223633,5.334202766418457,20.8308048248291,10.40493106842041,23.540000915527344
2000-01-28,,,85.36014556884766,,6.532395839691162,6.687242031097412,10.878782272338867,16.91948699951172,12.172175407409668,5.305963039398193,20.409116744995117,9.994284629821777,26.139999389648438
2000-01-31,,,87.67671203613281,,6.493253707885742,6.843848705291748,11.18181324005127,17.036989212036133,12.397274017333984,5.550705432891846,20.314241409301758,10.069475173950195,24.950000762939453
2000-02-01,,,88.54052734375,,6.610678195953369,6.828191757202148,11.242419242858887,16.91948699951172,12.272218704223633,5.50991678237915,20.577789306640625,10.433845520019531,23.450000762939453
2000-02-02,,,88.61904907226562,,6.6411261558532715,6.871253967285156,11.128783226013184,16.929288864135742,12.29722785949707,5.4816789627075195,21.083799362182617,10.364444732666016,23.1200008392334
2000-02-03,,,89.95404052734375,,6.528048515319824,6.789037704467773,11.060600280761719,16.91948699951172,12.130486488342285,5.472265243530273,21.2735652923584,10.40493106842041,22.010000228881836
2000-02-04,,,89.58104705810547,,6.519349098205566,6.5932722091674805,10.946968078613281,16.988035202026367,12.122152328491211,5.444027900695801,21.347347259521484,10.387580871582031,21.540000915527344
2000-02-07,,,89.4435806274414,,6.393223762512207,6.667663097381592,10.83332633972168,16.694292068481445,12.105478286743164,5.428335666656494,20.999469757080078,10.167802810668945,22.790000915527344
2000-02-08,,,90.6607437133789,,6.375826835632324,6.608933925628662,10.954537391662598,16.76283073425293,12.255549430847168,5.440886497497559,21.231386184692383,10.399148941040039,21.25
2000-02-09,,,88.75645446777344,,6.249703884124756,6.389679431915283,10.6969633102417,16.586593627929688,12.147156715393066,5.440886497497559,20.851886749267578,10.225635528564453,22.899999618530273
2000-02-10,,,88.93315887451172,,6.197511196136475,6.522797584533691,10.401509284973145,16.302637100219727,11.738638877868652,5.362442970275879,20.672666549682617,10.133097648620605,23.06999969482422
2000-02-11,,,87.12700653076172,,6.045291900634766,6.444493293762207,10.424236297607422,15.95993423461914,11.513538360595703,5.268310070037842,20.683212280273438,9.988505363464355,24.420000076293945
2000-02-14,,,87.63743591308594,,6.145323753356934,6.546288967132568,10.515146255493164,16.214523315429688,11.571900367736816,5.274586200714111,20.303701400756836,10.040557861328125,24.3799991607666
2000-02-15,,,88.6288833618164,,6.410617351531982,6.8203558921813965,10.530298233032227,16.498456954956055,11.830350875854492,5.262035846710205,20.145570755004883,10.063692092895508,22.920000076293945
2000-02-16,,,87.32332611083984,,6.2627482414245605,6.851677417755127,10.310604095458984,16.459300994873047,11.663604736328125,5.240072250366211,19.576316833496094,9.670397758483887,23.510000228881836
2000-02-17,,,86.87174987792969,,6.249703884124756,6.843848705291748,10.181808471679688,16.527835845947266,11.488527297973633,5.2086920738220215,19.565771102905273,9.392780303955078,23.170000076293945
2000-02-18,,,85.00672149658203,,6.058340549468994,6.644172191619873,9.818178176879883,16.16555404663086,11.355134963989258,5.0172882080078125,19.028133392333984,9.253969192504883,26.0
2000-02-22,,,84.79080963134766,,6.249703884124756,6.585442066192627,9.909089088439941,16.429929733276367,11.538551330566406,4.998460292816162,18.891084671020508,9.277103424072266,25.860000610351562
2000-02-23,,,85.79199981689453,,6.180116176605225,6.413168907165527,9.87120532989502,16.302637100219727,11.28843879699707,4.8949151039123535,19.186256408691406,9.248189926147461,23.889999389648438
2000-02-24,,,84.06439971923828,,5.958309173583984,6.342700004577637,9.66666030883789,16.1557559967041,11.054998397827148,4.731752395629883,19.03867530822754,8.953217506408691,24.3799991607666
2000-02-25,,,83.76008605957031,,5.862628936767578,6.217408180236816,9.606053352355957,15.871809959411621,10.779871940612793,4.706649303436279,18.448326110839844,8.987915992736816,25.200000762939453
2000-02-28,,,85.51716613769531,,5.880024433135986,6.405343055725098,9.916659355163574,15.920783042907715,10.988299369812012,4.841574192047119,18.775131225585938,9.311806678771973,24.68000030517578
2000-02-29,,,86.34172821044922,,5.840883255004883,6.554120063781738,9.984842300415039,16.097021102905273,10.946615219116211,4.876088619232178,18.985963821411133,9.508453369140625,23.3700008392334
2000-03-01,,,86.9699478149414,,5.779995441436768,6.718559741973877,10.121204376220703,16.008892059326172,10.84657096862793,5.089455604553223,19.14409637451172,9.39856243133545,21.639999389648438
2000-03-02,,,87.02888488769531,,5.653871059417725,6.843848705291748,10.060601234436035,16.067642211914062,10.871582984924316,5.221242427825928,19.059749603271484,9.386994361877441,21.059999465942383
2000-03-03,,,88.65831756591797,,5.8365349769592285,6.734223365783691,10.151506423950195,16.508256912231445,10.813223838806152,5.268310070037842,19.323299407958984,9.560508728027344,19.209999084472656
2000-03-06,,,87.79450225830078,,5.697362422943115,6.695067882537842,10.053022384643555,16.439720153808594,10.554774284362793,5.120833396911621,18.94378662109375,9.334942817687988,21.5
2000-03-07,,,86.09635925292969,,5.514698505401611,7.157070636749268,9.749993324279785,15.783690452575684,9.987852096557617,5.061218738555908,18.595911026000977,9.074674606323242,24.309999465942383
2000-03-08,,,85.98833465576172,,5.632125377655029,7.039608478546143,9.636358261108398,15.950143814086914,10.296324729919434,5.095732688903809,18.50103759765625,9.18455982208252,23.81999969482422
2000-03-09,,,88.50121307373047,,5.623430252075195,7.047442436218262,9.6893892288208,16.116601943969727,10.571450233459473,5.13652229309082,18.93325424194336,9.369646072387695,22.209999084472656
2000-03-10,,,88.0300521850586,,5.671268939971924,6.953476428985596,9.719690322875977,16.1557559967041,10.446392059326172,5.13652229309082,18.775131225585938,9.242400169372559,21.239999771118164
2000-03-13,,,87.068115234375,,5.758249282836914,6.851677417755127,9.818178176879883,15.910974502563477,10.279647827148438,5.152210235595703,18.638084411621094,9.167213439941406,22.850000381469727
2000-03-14,,,85.831298828125,,5.65822172164917,6.937814712524414,9.780295372009277,15.822857856750488,10.221295356750488,5.117698669433594,18.690780639648438,9.18455982208252,24.40999984741211
2000-03-15,,,87.83379364013672,,5.997453212738037,6.906493186950684,10.3787841796875,16.459300994873047,10.871582984924316,5.145938396453857,18.785673141479492,9.739799499511719,22.34000015258789
2000-03-16,,,91.9368667602539,,6.349731922149658,7.204049110412598,11.272716522216797,17.35032081604004,11.33846378326416,5.346753120422363,19.755523681640625,10.456984519958496,20.770000457763672
2000-03-17,,,92.54447937011719,,6.138106346130371,6.984626293182373,11.276067733764648,17.32723045349121,11.291224479675293,5.389770984649658,19.7766056060791,10.48317813873291,22.3700008392334
2000-03-20,,,92.07208251953125,,6.212218761444092,6.874633312225342,11.063167572021484,17.42535972595215,11.190850257873535,5.367643356323242,20.15611457824707,10.384664535522461,22.959999084472656
2000-03-21,,,93.96155548095703,,6.28632926940918,7.094625473022461,11.466155052185059,17.798192977905273,11.399954795837402,5.332869052886963,20.282621383666992,10.500561714172363,21.700000762939453
2000-03-22,,,94.5323486328125,,6.125030517578125,7.039627552032471,11.565004348754883,17.719696044921875,11.307950019836426,5.209586143493652,20.799171447753906,10.454201698303223,21.489999771118164
2000-03-23,,,96.14632415771484,,6.312483787536621,7.031768321990967,11.96799373626709,18.13178825378418,11.215950012207031,5.298099040985107,20.883502960205078,10.48317813873291,22.260000228881836
