Date,XLC
2018-06-19,46.32431411743164
2018-06-20,46.89919662475586
2018-06-21,46.61174011230469
2018-06-22,46.81574630737305
2018-06-25,45.85142135620117
2018-06-26,45.92746353149414
2018-06-27,45.52690124511719
2018-06-28,45.981239318847656
2018-06-29,45.92560958862305
2018-07-02,46.213043212890625
2018-07-03,45.647422790527344
2018-07-05,46.34284973144531
2018-07-06,47.07537078857422
2018-07-09,47.34427261352539
2018-07-10,47.32478332519531
2018-07-11,47.26080322265625
2018-07-12,48.00259017944336
2018-07-13,47.92840576171875
2018-07-16,47.78933334350586
2018-07-17,47.79859924316406
2018-07-18,47.659515380859375
2018-07-19,47.32573318481445
2018-07-20,47.168087005615234
2018-07-23,47.3628044128418
2018-07-24,47.69660949707031
2018-07-25,48.03968048095703
2018-07-26,46.22787857055664
2018-07-27,45.35071563720703
2018-07-30,44.63675308227539
2018-07-31,44.9334602355957
2018-08-01,44.74801254272461
2018-08-02,45.04473114013672
2018-08-03,45.35071563720703
2018-08-06,45.8050537109375
2018-08-07,45.86069107055664
2018-08-08,45.82360076904297
2018-08-09,46.0739631652832
2018-08-10,45.68450927734375
2018-08-13,45.61961364746094
2018-08-14,45.944149017333984
2018-08-15,45.30434036254883
2018-08-16,45.28580856323242
2018-08-17,45.07256317138672
2018-08-20,45.146728515625
2018-08-21,45.424888610839844
2018-08-22,45.3692512512207
2018-08-23,45.1838264465332
2018-08-24,45.84214782714844
2018-08-27,46.28721618652344
2018-08-28,46.08322525024414
2018-08-29,46.34284973144531
2018-08-30,46.05541229248047
2018-08-31,45.60107421875
2018-09-04,45.03546905517578
2018-09-05,44.45130920410156
2018-09-06,44.11751174926758
2018-09-07,44.210235595703125
2018-09-10,44.30295944213867
2018-09-11,44.74801254272461
2018-09-12,44.61820983886719
2018-09-13,44.9334602355957
2018-09-14,44.85000991821289
2018-09-17,44.41423034667969
2018-09-18,44.72947692871094
2018-09-19,44.85000991821289
2018-09-20,45.341434478759766
2018-09-21,45.138755798339844
2018-09-24,45.138755798339844
2018-09-25,45.1573600769043
2018-09-26,45.33401107788086
2018-09-27,45.7244987487793
2018-09-28,45.55714797973633
2018-10-01,45.3712043762207
2018-10-02,45.33401107788086
2018-10-03,45.53853988647461
2018-10-04,44.887733459472656
2018-10-05,44.46004867553711
2018-10-08,44.31128692626953
2018-10-09,44.28340148925781
2018-10-10,42.535499572753906
2018-10-11,42.17290496826172
2018-10-12,43.111934661865234
2018-10-15,42.94458770751953
2018-10-16,44.07886505126953
2018-10-17,44.25551986694336
2018-10-18,43.44664001464844
2018-10-19,43.43734359741211
2018-10-22,43.40945053100586
2018-10-23,43.31648254394531
2018-10-24,41.25245666503906
2018-10-25,42.61916732788086
2018-10-26,41.4662971496582
2018-10-29,40.82477569580078
2018-10-30,41.940460205078125
2018-10-31,42.805118560791016
2018-11-01,43.05614471435547
2018-11-02,42.61916732788086
2018-11-05,42.44252014160156
2018-11-06,42.693546295166016
2018-11-07,43.47454071044922
2018-11-08,43.0654411315918
2018-11-09,42.18219757080078
2018-11-12,41.54997253417969
2018-11-13,41.41980743408203
2018-11-14,41.62436294555664
2018-11-15,41.93116760253906
2018-11-16,41.726627349853516
2018-11-19,40.46218490600586
2018-11-20,39.93223571777344
2018-11-21,40.406394958496094
2018-11-23,39.87645721435547
2018-11-26,40.7875862121582
2018-11-27,40.91774368286133
2018-11-28,41.77312088012695
2018-11-29,41.912593841552734
2018-11-30,41.847496032714844
2018-12-03,41.912593841552734
2018-12-04,40.6760139465332
2018-12-06,41.131587982177734
2018-12-07,40.35061264038086
2018-12-10,40.657432556152344
2018-12-11,40.69461441040039
2018-12-12,41.131587982177734
2018-12-13,40.945648193359375
2018-12-14,40.545860290527344
2018-12-17,39.75558853149414
2018-12-18,39.93223571777344
2018-12-19,39.076866149902344
2018-12-20,38.388877868652344
2018-12-21,37.13337707519531
2018-12-24,36.34984588623047
2018-12-26,38.39259719848633
2018-12-27,38.56982421875
2018-12-28,38.44856262207031
2018-12-31,38.504539489746094
2019-01-02,39.01755142211914
2019-01-03,38.364627838134766
2019-01-04,40.01560592651367
2019-01-07,40.472660064697266
2019-01-08,41.15358352661133
2019-01-09,41.20955276489258
2019-01-10,41.293495178222656
2019-01-11,41.088287353515625
2019-01-14,40.93904113769531
2019-01-15,41.619956970214844
2019-01-16,41.44273376464844
2019-01-17,41.610633850097656
2019-01-18,41.946441650390625
2019-01-22,41.07896423339844
2019-01-23,40.89240646362305
2019-01-24,41.07896423339844
2019-01-25,41.6013069152832
2019-01-28,41.23753356933594
2019-01-29,40.75249099731445
2019-01-30,41.34013748168945
2019-01-31,43.0284423828125
2019-02-01,42.87920379638672
2019-02-04,43.28028869628906
2019-02-05,43.75600814819336
2019-02-06,42.77659606933594
2019-02-07,42.36616897583008
2019-02-08,42.655338287353516
2019-02-11,42.216949462890625
2019-02-12,42.70197677612305
2019-02-13,42.72996139526367
2019-02-14,42.888526916503906
2019-02-15,43.075077056884766
2019-02-19,43.1217155456543
2019-02-20,42.972476959228516
2019-02-21,42.57137680053711
2019-02-22,42.972476959228516
2019-02-25,43.019107818603516
2019-02-26,43.019107818603516
2019-02-27,42.804569244384766
2019-02-28,42.83255386352539
2019-03-01,43.16835403442383
2019-03-04,43.22431945800781
2019-03-05,43.494815826416016
2019-03-06,43.47616195678711
2019-03-07,43.09373092651367
2019-03-08,43.06575393676758
2019-03-11,43.8399543762207
2019-03-12,44.035831451416016
2019-03-13,44.166404724121094
2019-03-14,43.97053527832031
2019-03-15,43.93596649169922
2019-03-18,43.56219482421875
2019-03-19,43.63694763183594
2019-03-20,44.029396057128906
2019-03-21,44.608741760253906
2019-03-22,43.88924789428711
2019-03-25,43.81449508666992
2019-03-26,44.029396057128906
2019-03-27,43.71170425415039
2019-03-28,43.60891342163086
2019-03-29,43.702369689941406
2019-04-01,44.365787506103516
2019-04-02,44.599403381347656
2019-04-03,44.76759338378906
2019-04-04,45.01987838745117
2019-04-05,45.150691986083984
2019-04-08,45.06660079956055
2019-04-09,45.188072204589844
2019-04-10,45.384300231933594
2019-04-11,45.412322998046875
2019-04-12,45.80478286743164
2019-04-15,45.76739501953125
2019-04-16,45.81412124633789
2019-04-17,45.898223876953125
2019-04-18,45.9262580871582
2019-04-22,46.13181686401367
2019-04-23,46.748538970947266
2019-04-24,46.53361892700195
2019-04-25,47.05689239501953
2019-04-26,47.4306526184082
2019-04-29,47.86048889160156
2019-04-30,46.7859001159668
2019-05-01,46.54296875
2019-05-02,46.356082916259766
2019-05-03,46.80459213256836
2019-05-06,46.72984313964844
2019-05-07,45.97297668457031
2019-05-08,45.898223876953125
2019-05-09,45.758060455322266
2019-05-10,45.888885498046875
2019-05-13,44.46857452392578
2019-05-14,44.720863342285156
2019-05-15,45.72067642211914
2019-05-16,46.12248611450195
2019-05-17,45.78609085083008
2019-05-20,45.02921676635742
2019-05-21,45.52445602416992
2019-05-22,45.47773742675781
2019-05-23,44.84233474731445
2019-05-24,44.8329963684082
2019-05-28,45.02921676635742
2019-05-29,44.59004211425781
2019-05-30,44.69283676147461
2019-05-31,44.00136184692383
2019-06-03,42.61844253540039
2019-06-04,43.53416442871094
2019-06-05,43.5528450012207
2019-06-06,43.739749908447266
2019-06-07,44.44987869262695
2019-06-10,44.412506103515625
2019-06-11,44.599403381347656
2019-06-12,44.384483337402344
2019-06-13,44.879722595214844
2019-06-14,44.96381378173828
