time,AdrActCnt,TxCnt,HashRate,BlkCnt
2009-03-24T00:00:00.000000000Z,105,0,0.00000521957831111111,105
2009-03-25T00:00:00.000000000Z,117,0,0.00000581610154666667,117
2009-03-26T00:00:00.000000000Z,146,1,0.00000581610154666667,117
2009-03-27T00:00:00.000000000Z,106,0,0.00000526928858074074,106
2009-03-28T00:00:00.000000000Z,140,3,0.00000591552208592593,119
2009-03-29T00:00:00.000000000Z,116,0,0.00000576639127703704,116
2009-03-30T00:00:00.000000000Z,120,0,0.00000596523235555556,120
2009-03-31T00:00:00.000000000Z,143,1,0.00000546812965925926,110
2009-04-01T00:00:00.000000000Z,114,0,0.00000566697073777778,114
2009-04-02T00:00:00.000000000Z,115,0,0.00000571668100740741,115
2009-04-03T00:00:00.000000000Z,116,0,0.00000576639127703704,116
2009-04-04T00:00:00.000000000Z,113,0,0.00000561726046814815,113
2009-04-05T00:00:00.000000000Z,148,2,0.00000646233505185185,130
2009-04-06T00:00:00.000000000Z,109,0,0.00000541841938962963,109
2009-04-07T00:00:00.000000000Z,100,0,0.00000497102696296296,100
2009-04-08T00:00:00.000000000Z,105,0,0.00000521957831111111,105
2009-04-09T00:00:00.000000000Z,99,0,0.00000492131669333333,99
2009-04-10T00:00:00.000000000Z,108,0,0.00000536870912,108
2009-04-11T00:00:00.000000000Z,128,1,0.00000596523235555556,120
2009-04-12T00:00:00.000000000Z,127,2,0.0000058658118162963,118
2009-04-13T00:00:00.000000000Z,117,1,0.00000571668100740741,115
2009-04-14T00:00:00.000000000Z,124,0,0.00000616407343407407,124
2009-04-15T00:00:00.000000000Z,113,0,0.00000561726046814815,113
2009-04-16T00:00:00.000000000Z,123,0,0.00000611436316444444,123
2009-04-17T00:00:00.000000000Z,112,0,0.00000556755019851852,112
2009-04-18T00:00:00.000000000Z,131,4,0.00000626349397333333,126
2009-04-19T00:00:00.000000000Z,128,1,0.00000591552208592593,119
2009-04-20T00:00:00.000000000Z,236,2,0.00000591552208592593,119
2009-04-21T00:00:00.000000000Z,125,1,0.00000611436316444444,123
2009-04-22T00:00:00.000000000Z,121,0,0.00000601494262518518,121
2009-04-23T00:00:00.000000000Z,75,0,0.00000372827022222222,75
2009-04-24T00:00:00.000000000Z,115,0,0.00000571668100740741,115
2009-04-25T00:00:00.000000000Z,118,0,0.0000058658118162963,118
2009-04-26T00:00:00.000000000Z,128,2,0.00000556755019851852,112
2009-04-27T00:00:00.000000000Z,104,0,0.00000516986804148148,104
2009-04-28T00:00:00.000000000Z,117,0,0.00000581610154666667,117
2009-04-29T00:00:00.000000000Z,149,1,0.00000636291451259259,128
2009-04-30T00:00:00.000000000Z,131,0,0.00000651204532148148,131
2009-05-01T00:00:00.000000000Z,121,0,0.00000601494262518518,121
2009-05-02T00:00:00.000000000Z,142,2,0.00000626349397333333,126
2009-05-03T00:00:00.000000000Z,110,3,0.00000526928858074074,106
2009-05-04T00:00:00.000000000Z,159,1,0.00000636291451259259,128
2009-05-05T00:00:00.000000000Z,146,1,0.0000067108864,135
2009-05-06T00:00:00.000000000Z,135,0,0.0000067108864,135
2009-05-07T00:00:00.000000000Z,122,0,0.00000606465289481481,122
2009-05-08T00:00:00.000000000Z,107,0,0.00000531899885037037,107
2009-05-09T00:00:00.000000000Z,78,0,0.00000387740103111111,78
2009-05-10T00:00:00.000000000Z,85,0,0.00000422537291851852,85
2009-05-11T00:00:00.000000000Z,123,1,0.00000596523235555556,120
2009-05-12T00:00:00.000000000Z,130,0,0.00000646233505185185,130
2009-05-13T00:00:00.000000000Z,117,5,0.00000551783992888889,111
2009-05-14T00:00:00.000000000Z,145,3,0.00000690972747851852,139
2009-05-15T00:00:00.000000000Z,147,1,0.00000676059666962963,136
2009-05-16T00:00:00.000000000Z,119,0,0.00000591552208592593,119
2009-05-17T00:00:00.000000000Z,127,0,0.00000631320424296296,127
2009-05-18T00:00:00.000000000Z,118,0,0.0000058658118162963,118
2009-05-19T00:00:00.000000000Z,86,0,0.00000427508318814815,86
2009-05-20T00:00:00.000000000Z,120,0,0.00000596523235555556,120
2009-05-21T00:00:00.000000000Z,82,0,0.00000407624210962963,82
2009-05-22T00:00:00.000000000Z,61,0,0.00000303232644740741,61
