timestamp_ms,datetime_utc,sum_open_interest,sum_open_interest_value
1777593600000,2026-05-01T00:00:00+00:00,95322.90500000,7272988012.49893900
1777680000000,2026-05-02T00:00:00+00:00,103865.00700000,8121402240.84330000
1777766400000,2026-05-03T00:00:00+00:00,102089.13000000,8029811346.92407800
1777852800000,2026-05-04T00:00:00+00:00,103389.52300000,8119065512.71470000
1777939200000,2026-05-05T00:00:00+00:00,108685.10500000,8675908060.24050000
1778025600000,2026-05-06T00:00:00+00:00,113249.77000000,9157591576.76300000
1778112000000,2026-05-07T00:00:00+00:00,106377.82000000,8658795642.07405900
1778198400000,2026-05-08T00:00:00+00:00,103900.71600000,8308690896.80160000
1778284800000,2026-05-09T00:00:00+00:00,100841.90700000,8082993139.77570000
1778371200000,2026-05-10T00:00:00+00:00,100225.71500000,8081660980.53917000
1778457600000,2026-05-11T00:00:00+00:00,100469.76800000,8256374453.77360000
1778544000000,2026-05-12T00:00:00+00:00,100526.04500000,8212936557.38125500
1778630400000,2026-05-13T00:00:00+00:00,105490.18300000,8487896434.25866000
1778716800000,2026-05-14T00:00:00+00:00,104290.44600000,8269001740.53720000
1778803200000,2026-05-15T00:00:00+00:00,110454.09200000,8952198019.65699400
1778889600000,2026-05-16T00:00:00+00:00,101877.65300000,8055883721.08730000
1778976000000,2026-05-17T00:00:00+00:00,101884.14300000,7958085954.34392400
1779062400000,2026-05-18T00:00:00+00:00,100861.48400000,7810057721.31400000
1779148800000,2026-05-19T00:00:00+00:00,104459.02400000,8039490310.01440000
1779235200000,2026-05-20T00:00:00+00:00,103836.69100000,7974657868.80000000
1779321600000,2026-05-21T00:00:00+00:00,101591.30600000,7874378647.92591200
1779408000000,2026-05-22T00:00:00+00:00,100697.61600000,7812745374.49920000
1779494400000,2026-05-23T00:00:00+00:00,104881.21300000,7919307702.47620000
1779580800000,2026-05-24T00:00:00+00:00,102944.40600000,7897513726.63732300
1779667200000,2026-05-25T00:00:00+00:00,99129.24000000,7635290930.06400000
1779753600000,2026-05-26T00:00:00+00:00,99831.46500000,7715266074.12363900
1779840000000,2026-05-27T00:00:00+00:00,99129.76600000,7524053401.94159400
1779926400000,2026-05-28T00:00:00+00:00,101125.28300000,7525541310.29400000
1780012800000,2026-05-29T00:00:00+00:00,106587.98900000,7844000019.41080400
1780099200000,2026-05-30T00:00:00+00:00,104364.06400000,7663275800.61120000
