time,CapMVRVCur,CapRealUSD,CapMrktCurUSD,PriceUSD,ReferenceRateUSD
2010-09-25T00:00:00.000000000Z,4.03278411,,254424.646,0.06202,
2010-09-26T00:00:00.000000000Z,4.00070639,,254978.1,0.062,
2010-09-27T00:00:00.000000000Z,3.91751164,,256514.6221765050768,0.0622004418468732,
2010-09-28T00:00:00.000000000Z,3.70318762,,255947.85551572175952,0.0619038977206312,
2010-09-29T00:00:00.000000000Z,3.67369778,,256480.748,0.06191,
2010-09-30T00:00:00.000000000Z,3.58697479,,256891.19,0.0619,
2010-10-01T00:00:00.000000000Z,3.57218676,,257672.64433196960064,0.0619733138515488,
2010-10-02T00:00:00.000000000Z,3.26607208,,255595.92,0.0614,
2010-10-03T00:00:00.000000000Z,3.2380791,,254573.33028112209816,0.0610648684979544,
2010-10-04T00:00:00.000000000Z,3.23417646,,255999.447555522959715,0.0612944769140853,
2010-10-05T00:00:00.000000000Z,3.17003606,,256826.99,0.0614,
2010-10-06T00:00:00.000000000Z,3.22421336,,263261.834,0.06281,
2010-10-07T00:00:00.000000000Z,3.40312006,,281359.8,0.067,
2010-10-08T00:00:00.000000000Z,4.14833833,,355302.67118807693911,0.0844531081239041,
2010-10-09T00:00:00.000000000Z,4.40766563,,395367,0.0938,
2010-10-10T00:00:00.000000000Z,4.45879954,,410335.83862361207196,0.0971462010520164,
2010-10-11T00:00:00.000000000Z,4.28117529,,402025.75,0.095,
2010-10-12T00:00:00.000000000Z,4.2360293,,402338.04,0.0949,
2010-10-13T00:00:00.000000000Z,4.55044647,,445510.9688563403376,0.104865589129164,
2010-10-14T00:00:00.000000000Z,4.35844526,,434382.3,0.102,
2010-10-15T00:00:00.000000000Z,4.34353862,,448087.5,0.105,
2010-10-16T00:00:00.000000000Z,4.06985428,,432320.4,0.101,
2010-10-17T00:00:00.000000000Z,4.06277933,,437977.8,0.102,
2010-10-18T00:00:00.000000000Z,4.02994877,,440970.24,0.1024,
2010-10-19T00:00:00.000000000Z,3.80761656,,421311.019746639606485,0.0975448918760959,
2010-10-20T00:00:00.000000000Z,3.8186494,,428902.65,0.099,
