observation_date,NFCI_first_release
1976-05-28,-0.66
1976-06-04,-0.64
1976-06-11,-0.65
1976-06-18,-0.66
1976-06-25,-0.7
1976-07-02,-0.74
1976-07-09,-0.78
1976-07-16,-0.81
1976-07-23,-0.84
1976-07-30,-0.87
1976-08-06,-0.88
1976-08-13,-0.89
1976-08-20,-0.91
1976-08-27,-0.92
1976-09-03,-0.92
1976-09-10,-0.93
1976-09-17,-0.92
1976-09-24,-0.92
1976-10-01,-0.9
1976-10-08,-0.88
