date,b_real,b_dollar,se_real,se_dollar,r2
2010-12-22,-0.00048177096011553413,-0.5901275622916895,0.00012198105981039397,0.16946608573160807,0.10631605005883193
2010-12-23,-0.00048596393591633836,-0.5907881559229056,0.00012180952713694889,0.16938522865140013,0.10725322516272695
2010-12-24,-0.0005001302180166482,-0.5824976235391672,0.00012130353726789688,0.16838377915518282,0.11039470003227014
2010-12-27,-0.0005048071233368377,-0.575737820962202,0.00012130307315266928,0.16843259170459338,0.11081417978343966
2010-12-28,-0.00047024885747875785,-0.5910121838091652,0.00012113347657498588,0.16970325568661765,0.10398650001356124
2010-12-29,-0.0004762135206188866,-0.5666834183218232,0.00012018086090425121,0.17015473708701587,0.10382739976702571
2010-12-30,-0.0005284938148642216,-0.5467393593018739,0.00011963758674635164,0.16748370121019046,0.11545436950021104
2010-12-31,-0.0005537339209665186,-0.5453690518626548,0.00011935425623530344,0.16703289357769205,0.12203788899292733
2011-01-03,-0.0005590282383208779,-0.532320880147759,0.00011922297607154338,0.16619066527957774,0.12127990391635979
2011-01-04,-0.0005555427246857628,-0.5552927083774486,0.00012047535019496806,0.16734309662005983,0.12137864723929681
2011-01-05,-0.0005535455499255003,-0.5539320501090659,0.00012004772796293384,0.16720933935399818,0.12166901303689104
2011-01-06,-0.0005502530757765366,-0.5647305960557365,0.00011975072891285562,0.16684120962766985,0.12230992594724421
2011-01-07,-0.0005621524049270693,-0.5136417143712197,0.00011851982033342625,0.1667174840732422,0.12074828955944916
2011-01-10,-0.0005675084460774389,-0.5132238455997462,0.00011782997471440566,0.16574327238190642,0.1233350824342152
2011-01-11,-0.0005665908038211633,-0.5160849242992266,0.00011789948297762438,0.16594250606841005,0.12309679812530394
2011-01-12,-0.0005672641287666823,-0.5177253155004797,0.00011789989773202342,0.1653621812241207,0.12358773766147768
2011-01-13,-0.0005661075219342916,-0.4952760263806989,0.00011849996899763924,0.16594722143005755,0.11973740521525744
2011-01-14,-0.0005646144393716286,-0.5006850702913942,0.00011858210816870928,0.16589794605205133,0.12009581997869667
2011-01-17,-0.0005645991743626468,-0.5007456753153064,0.00011857913453620751,0.16589344111148446,0.12010555998941286
2011-01-18,-0.0005697405746089439,-0.49274772631637215,0.0001187806218572241,0.16650086267250205,0.12066178363906599
2011-01-19,-0.0005669515249521135,-0.49229468401800414,0.00011765331203628983,0.16487413878489338,0.12190518504302283
2011-01-20,-0.000579451444590122,-0.49389979618670565,0.00011341621308340141,0.16480968284331454,0.13355026979884943
2011-01-21,-0.0005778040034358518,-0.48625578748536585,0.00011358029914203544,0.1645705361558474,0.1319040244735138
2011-01-24,-0.0005978085995303864,-0.410331271554409,0.00010957120675772498,0.159383254324521,0.1372563584228309
2011-01-25,-0.0005960628775994203,-0.42653507640343075,0.00010925848805763347,0.1597289101869286,0.1381108237780846
2011-01-26,-0.0005867510904957632,-0.4336630519783673,0.00010926284770822501,0.15980097601451687,0.13573928598739304
2011-01-27,-0.000590555409134141,-0.44117206243312973,0.00011048490214988758,0.16151914247785085,0.13522766797512198
2011-01-28,-0.0006063778426218084,-0.42626114914292673,0.000111009238474716,0.16203775753159888,0.1368065433275144
2011-01-31,-0.0006148225032339451,-0.42471819150717427,0.00011009733995957457,0.16056986490431327,0.14128884550731868
2011-02-01,-0.0006117539220759665,-0.44479152705270064,0.00011000220480276853,0.16067344778248757,0.14226867777606256
2011-02-02,-0.0006121761828705902,-0.44460231456384375,0.00010979185322196894,0.1606567295999144,0.14266606276356408
2011-02-03,-0.000586436495907105,-0.40616874560902194,0.00010944701254209911,0.16111301892705396,0.1305665595596769
2011-02-04,-0.0005860819877450696,-0.4056753015532285,0.00010919205713334994,0.16121717722375,0.13081106410881915
2011-02-07,-0.0005879699466176203,-0.4100056099273425,0.0001090242928523378,0.16105467642176302,0.13212425989867504
2011-02-08,-0.0005728427246970001,-0.42055837452280276,0.00010917735971098425,0.1615428618131931,0.1277844919714327
2011-02-09,-0.0005692410353115038,-0.42603125490809,0.00010903137778599448,0.16130716108863047,0.12737773969676636
2011-02-10,-0.0005779687612779325,-0.4128514895255827,0.00010861179684325915,0.16072653393024197,0.12995854359246872
2011-02-11,-0.0005748298167680453,-0.4177260064060834,0.00010854419717805979,0.16049446301302767,0.12951908742182405
2011-02-14,-0.0005749919723314646,-0.4311739165764418,0.00010828437047561737,0.16063439146000957,0.13152283412601096
2011-02-15,-0.0005745241249160086,-0.41956434730121395,0.0001083662771883058,0.16204432500426658,0.12908829381961462
2011-02-16,-0.000573880204512033,-0.41998282519343855,0.00010826861999669404,0.16202076232075022,0.12900778878407504
2011-02-17,-0.0005756780842298614,-0.40924583243634083,0.00010764571655360506,0.16148330766736538,0.1299306412035488
2011-02-18,-0.000574079555324557,-0.4035620027841601,0.0001074059134879796,0.16207114794690144,0.1293265120448941
2011-02-21,-0.0005765276698404477,-0.3927334664744139,0.0001073182228231021,0.16245689540348515,0.1291875553072569
2011-02-22,-0.000576059346203395,-0.3929420421798721,0.0001061750836809208,0.16215894098143505,0.1303378065184987
2011-02-23,-0.0005764014211427097,-0.3936496216785977,0.00010609118126260823,0.16205116524000973,0.13070783418730691
2011-02-24,-0.0005692988090711562,-0.38772408172554945,0.00010628066429521682,0.16250008227525678,0.12752279706881742
2011-02-25,-0.0005685149886753898,-0.3941001549718156,0.00010589478307958475,0.1620259070565196,0.12879374143822753
2011-02-28,-0.0005683634177613408,-0.394777826700208,0.00010588129087125288,0.16187915522485188,0.12881574262182682
2011-03-01,-0.0005783784001152174,-0.41195953784335104,0.00010611505947457293,0.16255243473330572,0.13306508741399858
2011-03-02,-0.0005791734218802527,-0.41668647180898777,0.00010605370220265603,0.16273729738738948,0.13379762709471466
2011-03-03,-0.0005834677799493584,-0.3968483589551465,0.00010540661843252978,0.1626517868673175,0.1338041869730935
2011-03-04,-0.000588470705228121,-0.40203454706909736,0.00010466246932000085,0.16230204956041364,0.13762689689060814
2011-03-07,-0.0005950324703366445,-0.4122433216456085,0.00010456347022477497,0.1621575522813734,0.14077326739454854
2011-03-08,-0.0005854005801210599,-0.3977925300684855,0.00010412841361392325,0.16143700294729124,0.1367588860192157
2011-03-09,-0.0005860754144083543,-0.3943372869580728,0.00010401385006096306,0.16131530709962033,0.13697216176969884
2011-03-10,-0.0005725651527060203,-0.4130181839129905,0.00010420769668419934,0.16171810637197567,0.13347131953809255
2011-03-11,-0.0005542191495453773,-0.39294284764864873,0.00010456898473365607,0.16242315375591734,0.12303766301871544
2011-03-14,-0.0005591132539350847,-0.3926114502785628,0.00010462150370925877,0.16221179334040162,0.12465706607669946
2011-03-15,-0.0005537757155439937,-0.41786090409234466,0.00010497433106880666,0.16245283135126212,0.12497069753646861
2011-03-16,-0.0005499717748004706,-0.4197984117363721,0.0001047322732886343,0.16278628147259538,0.12425935734919391
2011-03-17,-0.0005501044369267418,-0.4218660162047503,0.00010453305165066238,0.1622436839970145,0.12516885660542765
2011-03-18,-0.0005428820072497005,-0.4226064178901478,0.00010491202348231863,0.1629167810650091,0.12170300423067504
2011-03-21,-0.0005405041443477072,-0.42137750122480355,0.00010451612449064965,0.16242160070188488,0.12131554593683325
2011-03-22,-0.0005451542159797054,-0.42573445526459536,0.00010472434470456613,0.16245974028156276,0.12232452890599277
2011-03-23,-0.0005411720238894361,-0.4106433457126392,0.00010495195969526899,0.16279175843439536,0.11931211565430955
2011-03-24,-0.0005372377415156811,-0.4000085469928087,0.0001052679280561362,0.16313480015050277,0.11659342640918491
2011-03-25,-0.000524024067183145,-0.39936073284779866,0.00010601811743784809,0.16303451232277794,0.11164727984526346
2011-03-28,-0.0005243279683323266,-0.40244987734182536,0.00010615865686673182,0.16306625669517744,0.1118183693541911
2011-03-29,-0.0005234189971951136,-0.3983792519084194,0.00010605748473866389,0.163045937537473,0.11125871533728549
2011-03-30,-0.0005281764462721219,-0.4053501450583844,0.0001058802751128443,0.1627669811731104,0.11367246778783979
2011-03-31,-0.0005298721819763107,-0.4089070926496142,0.00010595674960777939,0.16274815080457383,0.11448547529641695
2011-04-01,-0.0005259400303365418,-0.398697633085811,0.0001061305408353822,0.16323495736427063,0.11233065904208828
2011-04-04,-0.0005246272613406634,-0.40168170218321286,0.00010623839336553799,0.16348357150112483,0.11226116442109502
2011-04-05,-0.0005266277137714671,-0.3794030744536886,0.00010561150620594445,0.16288585180007778,0.11183958509220693
2011-04-06,-0.0005249515109891671,-0.3838365534850878,0.00010548697459285175,0.16306779488202228,0.11146263705075221
2011-04-07,-0.0005251167563794944,-0.3849070014633482,0.00010550264203284947,0.16354473161085428,0.11136163108307273
2011-04-08,-0.0005240028908360761,-0.3901506494175957,0.00010556309522602241,0.16308910467274082,0.1118595766422743
2011-04-11,-0.000524339024963341,-0.3873632847775845,0.00010580990790533593,0.16356871750632418,0.11096115514573679
2011-04-12,-0.0005180714097364541,-0.3943740051224366,0.00010549485627623289,0.16327086891897755,0.11005608378098575
2011-04-13,-0.0005185996913290896,-0.396764157153627,0.0001053927403455964,0.1631721137802714,0.11063768122664386
2011-04-14,-0.0004990868694620087,-0.4322118518180218,0.00010590171988477933,0.16419338323653815,0.10864277257918697
2011-04-15,-0.0005027068561743014,-0.432465858036202,0.00010567500261357888,0.16477041644885318,0.10968910470592186
2011-04-18,-0.0005142592891027617,-0.4347205562126222,0.0001060988040928304,0.16459137022284742,0.11161874997603227
2011-04-19,-0.0005100663052005042,-0.42644674923724823,0.00010595083774579297,0.16390277757669874,0.11020033703453713
2011-04-20,-0.0005092279355380929,-0.4418985105956416,0.00010566008612428984,0.16345327779661564,0.1112499715998091
2011-04-21,-0.0005101338963491345,-0.4287407319589252,0.00010556216469677432,0.16409775378915734,0.11008207929848979
2011-04-22,-0.0005096459228536715,-0.4360412416680608,0.00010554088101040941,0.1651099823711971,0.11057828729568564
2011-04-25,-0.0004866287903075551,-0.5409325612573208,0.00010316883030013825,0.16401406937943852,0.12099380601371301
2011-04-26,-0.00048428021923095947,-0.5382863624653178,0.00010341011711936102,0.16413770993561042,0.11963167943681419
2011-04-27,-0.00046369784534106473,-0.575710905307268,0.00010416043985376183,0.1684641404131022,0.11671383445711014
