date,adf_stat,adf_p,r2,alpha,b_real,c_dollar
2011-05-22,-2.135558669743755,0.03138671343441337,0.7578274067436946,13.063944258086199,-0.14181916744974676,-1.7883076510380453
2011-06-12,-2.4935980201289802,0.012220839213979607,0.793861484138869,13.656292586910123,-0.128111288575216,-1.921675701813344
2011-07-03,-2.446599612173571,0.013921733343110258,0.8185523018283535,13.528369998970646,-0.12062691869222468,-1.8941127012112235
2011-07-24,-2.489842288821995,0.01234963877626405,0.8308341093836288,13.725226571535018,-0.11036410906712694,-1.93933393516182
2011-08-14,-2.366025782010158,0.01732815281351317,0.8573990912597661,13.790744933424063,-0.10738755274618453,-1.9533283418065368
2011-09-04,-1.7057894327077698,0.0834134145353918,0.8523091516731917,13.567229658990508,-0.13339514131449842,-1.8967866916492637
2011-09-25,-1.9980271062257435,0.04372267126471159,0.8374573879806398,12.523270526072189,-0.1737169352622316,-1.6557681756009857
2011-10-16,-2.1444418353148804,0.030703532311704862,0.8326873863902727,12.345867730437664,-0.19183448315882629,-1.6128915899624043
2011-11-06,-2.3369128803996406,0.018727717519406717,0.844549255831528,12.964165488704424,-0.20523905338396653,-1.748248701748992
2011-11-27,-2.313464296725164,0.019925804864577564,0.8426322265515591,13.02410510242329,-0.2226228880481207,-1.758648776652206
2011-12-18,-2.653820515266285,0.007725379489558526,0.8256636927965073,12.842326412488038,-0.22661956266526767,-1.7173427123614204
2012-01-08,-2.4176024469006894,0.015072662893156032,0.8044708446146227,12.62848205390797,-0.2154663815718755,-1.6712360104040698
2012-01-29,-2.5144583258500246,0.011526941342721248,0.782571558988859,12.461239353067723,-0.2120077895619233,-1.6344418336565707
2012-02-19,-2.742633430932923,0.005934834755642439,0.7825102387969007,11.720926825472876,-0.20141983641387867,-1.4706523743040951
2012-03-11,-3.7765103393049917,0.00017397585955335648,0.8402817566985318,11.258905732646328,-0.19614507016234686,-1.3674996185020776
2012-04-01,-3.390459490334497,0.000714416742934547,0.8818219545322465,11.0340466700362,-0.19106741006323158,-1.3172797273113344
2012-04-22,-2.8267669890403706,0.0045949296701364006,0.8678623441923687,10.70807852984413,-0.18158999534741932,-1.2457476460935744
2012-05-13,-2.336848185571938,0.018730934533190715,0.8310821475962663,11.226654003858702,-0.17892625181975413,-1.3622540649951849
2012-06-03,-2.3500934423408606,0.018082286006278616,0.7761176528659155,12.33384473118216,-0.17666307368773654,-1.609598777462669
2012-06-24,-2.109667166795674,0.03345216123515182,0.7019143989889314,12.651345751793333,-0.16881029524572885,-1.6810377916672117
2012-07-15,-1.835526053777756,0.06324012476607907,0.5954211071631663,13.637613439334782,-0.17323060173052074,-1.9010000055057503
2012-08-05,-1.7059499593004213,0.08338566329192787,0.45558574949857034,13.188642735618291,-0.15366651530094394,-1.802246314671326
2012-08-26,-2.119168561748211,0.03268120010269279,0.32701000144712034,12.348109705220281,-0.13155700917001306,-1.6158695891745345
2012-09-16,-2.253364735751777,0.023305853725237517,0.3011127182894785,11.959054668725301,-0.11506416619489317,-1.5291850613665368
2012-10-07,-2.206243919637934,0.026292459881455253,0.32194858553629147,11.892251501605388,-0.10162603522799747,-1.5136245771791637
2012-10-28,-2.511799804330535,0.01161338019527008,0.3210225796681838,11.7925311667091,-0.08672164026138576,-1.4906757900908862
2012-11-18,-3.493405820239309,0.0004953398695149187,0.35764845277889457,11.956543900221428,-0.06381239847185816,-1.5253505066132151
2012-12-09,-4.262767361319795,2.543835558609403e-05,0.5159592073279327,13.084010861731448,-0.04143162771911989,-1.7730898131654762
2012-12-30,-4.096382072414826,4.995556579402373e-05,0.6852727251143396,15.092238205266057,-0.025926963137942925,-2.216464740763774
2013-01-20,-3.82007299903536,0.00014737347894319482,0.6157546449274878,15.349529889532178,-0.02092221891614749,-2.2732067382082937
2013-02-10,-3.522999220074221,0.00044520503415384707,0.5659298340693326,14.422445448809173,-0.023624591247360743,-2.068669971120724
2013-03-03,-3.120076758047125,0.0017997196881814588,0.5442231818445946,14.617797546779137,-0.019608475019188793,-2.1119067765500557
2013-03-24,-3.292137644287773,0.0010061504826105454,0.5438937587405719,15.00998842139634,-0.015133917456812265,-2.198549630866449
2013-04-14,-2.223930809040477,0.025134924453849333,0.5455594617207061,15.213082941636365,-0.024096506697691783,-2.2453882185278085
2013-05-05,-1.3297874881213405,0.1700045820360655,0.3760255072966212,15.72040711122866,-0.02579559186490145,-2.359560018428232
2013-05-26,-1.3166874340598476,0.17385035437628232,0.37031065789383977,17.58374182755948,-0.047022846946725774,-2.7756172931374916
2013-06-16,-1.8278074478142226,0.06431899542323592,0.48273655673521854,19.162403804861455,-0.10314360880741948,-3.132581045366245
2013-07-07,-2.4943655930185193,0.012194663282338447,0.6588861898526901,19.02262876542933,-0.13555332174281307,-3.1059930487846756
2013-07-28,-2.4627297282509617,0.013315735530533421,0.7350727952856679,17.475343008920568,-0.15296911575356764,-2.7663065101586506
2013-08-18,-2.4813423920916646,0.012645595361234278,0.7820195021870373,15.22400187953677,-0.16794278740452712,-2.270629767925284
2013-09-08,-1.8047606309733666,0.0676285922742002,0.7570659863304017,13.229792243823859,-0.15061907978458086,-1.8278400247283402
2013-09-29,-2.338838230510747,0.018632198276836827,0.7770885897145858,11.938741332200845,-0.15359180625459307,-1.543078205724822
2013-10-20,-2.4043052396111833,0.015627932661905413,0.7973788819796335,12.208873520775498,-0.15737536069085928,-1.6037536368213585
2013-11-10,-2.5196237691764254,0.011360628296013985,0.8157991980161313,14.01593821378355,-0.15146020201260463,-2.003370183331606
2013-12-01,-2.462759798142093,0.013314627986821733,0.8333152435034988,15.605185420997957,-0.14817202196134288,-2.3550849850175473
2013-12-22,-2.4093942807445914,0.015413330467582422,0.8480540323095451,16.794483876002467,-0.14612376313723593,-2.6183683825395483
2014-01-12,-2.628646061966139,0.008314764697504907,0.8623606557512595,18.180390668745765,-0.14114050303182207,-2.925086388442784
2014-02-02,-2.7017354669035196,0.0067065648269074105,0.8680839780919787,18.26292951337015,-0.1367422782817597,-2.9436281516162373
2014-02-23,-2.5424745903294035,0.0106502529744202,0.8601650112792029,15.999223367303747,-0.14031090034263285,-2.4439063692636456
2014-03-16,-2.4137959200125243,0.015229813109434652,0.8442976214268332,13.480961255169234,-0.1442024726548049,-1.8879527233325324
2014-04-06,-2.7122535794836753,0.0064998680476565755,0.8313736803427735,13.153136615611597,-0.1387366733588376,-1.8158677914889907
2014-04-27,-2.6206431304120037,0.008510425892267616,0.818192886179122,13.043882711047573,-0.13288306114454598,-1.7924492580532294
2014-05-18,-2.6206207504767227,0.008510978804597728,0.7929746761361616,12.304900236373234,-0.13226251824927956,-1.6300089916177505
2014-06-08,-2.651745355107452,0.007772500067528536,0.7531950189580987,11.016656692975747,-0.13102669419658475,-1.3469915444695277
2014-06-29,-3.0727552675318393,0.0021033248581553985,0.7157357467037331,7.467406871193891,-0.13255430241891414,-0.5655135604962362
2014-07-20,-2.887293990330574,0.0038085106695105383,0.6650797494202985,6.2849305576625625,-0.12532333121837497,-0.3060976869815235
2014-08-10,-3.4317962533958783,0.0006172976859446974,0.5853671082606529,8.12175201670297,-0.10079751780270593,-0.7136534975866557
2014-08-31,-2.929845477502786,0.003331670334935962,0.42434287319684993,9.462053791448351,-0.0691593044172133,-1.0124542188128993
2014-09-21,-2.724611619455162,0.006264391938728391,0.32151291583650354,10.93051847356647,-0.06312171277262832,-1.3366790351170192
2014-10-12,-2.799421519872612,0.004996656843432161,0.27528635729345785,11.83833757724252,-0.04853286831330381,-1.5382969825556119
2014-11-02,-2.7887902847969874,0.005161291448175921,0.2684618137250433,11.65943988772941,-0.020112802198474656,-1.502361351799829
2014-11-23,-2.6660418498412284,0.00745305456029668,0.40152869058500784,12.1693275062284,-0.015671488063836742,-1.6149932713657917
2014-12-14,-2.5009643928978815,0.01197167636151911,0.4329616253060742,11.167723921380524,-0.012165515555391677,-1.3949562381706688
2015-01-04,-2.8891144910692628,0.0037868918187561316,0.4799016385229815,10.428338647054346,-0.012550440123634876,-1.2324401960574178
2015-01-25,-3.0389151174999265,0.0023488145800379177,0.4852287165511546,9.066020012819235,-0.0735835810368175,-0.9273224125835803
2015-02-15,-2.624454504829633,0.008416732589701569,0.476664679465161,8.340715421804212,-0.10714288203106904,-0.764957854018819
2015-03-08,-2.7136401045550005,0.006473055197921331,0.5023439541913434,8.250654625419653,-0.10584534610873457,-0.7453885526411939
2015-03-29,-2.726087877973469,0.006236785530223319,0.5381682598297071,8.197990692906508,-0.10180657353854708,-0.734544651433046
2015-04-19,-2.7814704375778616,0.005277500010987506,0.5576193740657152,8.257983591781139,-0.0961260755389295,-0.7482004175088564
2015-05-10,-2.8892227017184666,0.003785610340755508,0.5863627174261188,8.329818060505946,-0.08188935339357999,-0.7650938989443732
2015-05-31,-2.802329695910817,0.004952461863207163,0.613472850156801,8.236678215278722,-0.06289342269926691,-0.7460130721000319
