date,e_level,z_level
2022-01-03,0.9083285942621369,0.2885930398006318
2022-01-04,0.8421830093389061,0.5213328363876186
2022-01-05,0.7993441100721828,0.7009529463405499
2022-01-06,0.7689696863322698,0.7874059704036271
2022-01-07,0.7478316335257398,0.851535092874893
2022-01-10,0.7398435181710884,0.9450835786589926
2022-01-11,0.7192560847699573,0.8495484668710854
2022-01-12,0.7170957570184039,0.9848677142945872
2022-01-13,0.7116351368356951,0.961171624938191
2022-01-14,0.7279725165954091,1.1088621313405709
2022-01-17,0.7446849621207061,1.1088621313405709
2022-01-18,0.791787297749674,1.2776985507605514
2022-01-19,0.8934382831813257,1.511230235454094
2022-01-20,1.0468851238763148,1.6484801311769077
2022-01-21,1.1451580472742555,1.3923783086961443
2022-01-24,1.2500351502189815,1.3841354039586353
2022-01-25,1.3774014870472,1.420880727901467
2022-01-26,1.5372571642342723,1.4698842756137271
2022-01-27,1.6058354449662122,1.2025423308300343
2022-01-28,1.6044429694741351,0.9956548869469558
2022-01-31,1.628199948840925,1.0714802621229766
2022-02-01,1.6797819555431492,1.147520755180747
2022-02-02,1.73671619630263,1.157125006419359
2022-02-03,1.8579535432302867,1.3031054507598299
2022-02-04,2.106932449651862,1.5297289557034137
2022-02-07,2.4444072756917805,1.6129895802338925
2022-02-08,2.9085824965975084,1.7026237120773378
2022-02-09,3.4411020177534737,1.6825147330046955
2022-02-10,4.1800143629349975,1.7740668259952632
2022-02-11,5.10133465831879,1.7900022250379428
2022-02-14,6.421002336877739,1.8939130645021018
2022-02-15,8.199394285254364,1.9415582656464143
2022-02-16,10.839519774969814,2.05424026784601
2022-02-17,14.730872982677864,2.1424211238952915
2022-02-18,19.535949364456858,2.0644390940668673
2022-02-21,25.90839782675549,2.0644390940668673
2022-02-22,34.05478340795,2.035756151427847
2022-02-23,44.46240941080702,2.0139866386665433
2022-02-24,55.501633060073324,1.8662319618373568
2022-02-25,68.88216716324042,1.8468449063076697
2022-02-28,75.95713866040083,1.423766908728977
2022-03-01,83.07008493700593,1.3915610314787703
2022-03-02,90.7763345182647,1.3884093324800535
2022-03-03,102.59475599712512,1.5172104646251487
2022-03-04,115.06857686347495,1.4885678207367226
2022-03-07,131.04103746262638,1.545341993077041
2022-03-08,158.42390585489912,1.7577373779535665
2022-03-09,188.35910400912235,1.699871522771987
2022-03-10,230.07324035947536,1.79293247446478
2022-03-11,263.8541302276871,1.5710718610504257
2022-03-14,319.7556656733111,1.7659708484205825
2022-03-15,390.3476244334195,1.7910009428013525
2022-03-16,514.7264653597874,2.0460598484616757
2022-03-17,634.6563241608047,1.8248212660137688
2022-03-18,754.1255570033052,1.6977703173680156
2022-03-21,1020.2216365477738,2.1280362184202533
2022-03-22,1398.86334670975,2.1705684009823027
2022-03-23,1880.1019452850098,2.1071809729125737
2022-03-24,2679.232411325445,2.2913889852558307
2022-03-25,4096.234030587046,2.5077548264068215
2022-03-28,5768.081859810563,2.254201974403082
2022-03-29,8329.430974317798,2.3324999699710878
2022-03-30,11748.41755866344,2.259359658315014
2022-03-31,16495.62641454998,2.2451552145422564
2022-04-01,24764.940706173977,2.452148938215012
2022-04-04,38794.25850217362,2.581664477467643
2022-04-05,63573.63504099094,2.71797395799782
2022-04-06,112759.40243513275,2.9558109669562715
2022-04-07,214419.33396459397,3.164751187285378
2022-04-08,421887.7333329832,3.267388130316519
2022-04-11,869225.2938082642,3.406352441331094
2022-04-12,1812237.7972529342,3.4422209037417115
2022-04-13,3972260.6447420134,3.594313800011323
2022-04-14,8935970.6895723,3.6736810407315534
2022-04-15,20087451.415603068,3.671418879459655
2022-04-18,45426043.00992113,3.689734350738415
2022-04-19,102814635.84399335,3.692345088480349
2022-04-20,222886247.07526907,3.5606818362172117
2022-04-21,459939802.95680916,3.411103862982892
2022-04-22,954817783.0749753,3.4292309629674453
2022-04-25,1829043042.3069327,3.186838272833071
2022-04-26,3600141075.962566,3.2685157093583537
2022-04-27,7037560537.904818,3.24777050127663
2022-04-28,13486360732.987225,3.1880092223506664
2022-04-29,28522756371.20553,3.4855896482085593
