date,r2,alpha,b_real,c_dollar
2010-12-21,0.7110832073032827,4.8094095739423945,-0.2004674984761932,0.04452312113441148
2010-12-22,0.706060151925228,4.927174440990127,-0.19973056573725734,0.01846505590172509
2010-12-23,0.7003020872930579,5.087767656443562,-0.19836124568234964,-0.017185811710927923
2010-12-24,0.6946793052438556,5.214431445536374,-0.197526803148897,-0.045240174956250545
2010-12-27,0.6895486785988094,5.359909414893674,-0.19642517876722326,-0.07750085921552397
2010-12-28,0.6796921213224258,5.614210400761469,-0.1938893153019397,-0.13409371264720282
2010-12-29,0.6736150252222542,5.790512628948384,-0.19277589740110532,-0.17315974587983285
2010-12-30,0.6684248208402002,6.062440797211564,-0.19032417181793668,-0.23361900938411662
2010-12-31,0.6640446562127607,6.270525403578314,-0.18886810467887583,-0.2797692248489638
2011-01-03,0.6595255028699851,6.548513166039073,-0.186533771424964,-0.3415564033427114
2011-01-04,0.6582986538217976,6.755057787199886,-0.1847057835460665,-0.38746490336034833
2011-01-05,0.6559619869117321,6.979915636681508,-0.18247972333047177,-0.43750336246169574
2011-01-06,0.6545418262868732,7.1372547504046855,-0.18101451987561812,-0.47247457516034896
2011-01-07,0.6550831738105469,7.261085103698047,-0.17979540806966315,-0.4999777943222814
2011-01-10,0.6569908627341832,7.389522163032459,-0.17850799616641186,-0.5284980372272943
2011-01-11,0.6582629254854795,7.520084735097957,-0.17714409913518936,-0.5575036475783848
2011-01-12,0.6590555680328088,7.680480538400098,-0.1754471142823627,-0.5931769784016645
2011-01-13,0.6607718655449369,7.8047801393230944,-0.17405053360554515,-0.6208265001553768
2011-01-14,0.6622336079446576,7.929530370858058,-0.17238099628402018,-0.6486450227609277
2011-01-17,0.6638381519490506,8.052125712248234,-0.17069928027402845,-0.6759912759960482
2011-01-18,0.666509926863158,8.138673470936459,-0.16946977700166557,-0.6952621722650687
2011-01-19,0.6681422702575421,8.228967272180975,-0.1683651893275933,-0.7153463403760476
2011-01-20,0.6677215565172891,8.389572073114607,-0.166134825716877,-0.7512044899285755
2011-01-21,0.6675054136911742,8.535907564507028,-0.16402992203798,-0.7838959087050732
2011-01-24,0.6708701711687479,8.606775738498177,-0.16255495181470359,-0.7997524098133548
2011-01-25,0.672998700606414,8.62151774858232,-0.16161964509086713,-0.8031136659439502
2011-01-26,0.6744140289462219,8.680530567629706,-0.16002658315950144,-0.8163943397093791
2011-01-27,0.675251140573105,8.692768596546307,-0.158977176100949,-0.8192534637238678
2011-01-28,0.6750602642981278,8.727926025329632,-0.15763785628228644,-0.8272417605183688
2011-01-31,0.6739378185295698,8.763429915197037,-0.15651681473379592,-0.8352785483372052
2011-02-01,0.6733895543659368,8.842293996503924,-0.15485442025128016,-0.8530070414290265
2011-02-02,0.6725896606416357,8.93112637280581,-0.15300395463073085,-0.8729791119177723
2011-02-03,0.670753409911373,9.08422377972589,-0.1505917849783614,-0.907265918223521
2011-02-04,0.6676930905630764,9.246384670656878,-0.14784175733966215,-0.9436360589314534
2011-02-07,0.664169471548064,9.404840294848889,-0.1451824099085506,-0.9791756467885304
2011-02-08,0.6589465524225,9.615807355315548,-0.14162518711996072,-1.0265172184996287
2011-02-09,0.6543896348365914,9.791248145102006,-0.13852817425777667,-1.0659071607829582
2011-02-10,0.649622605999757,9.962076792000683,-0.13508530025102694,-1.1043457618098826
2011-02-11,0.6455016411184045,10.100661274614392,-0.1320044023524556,-1.135579237951553
2011-02-14,0.6409570378938347,10.222308452672971,-0.1293461328170527,-1.1629812338655054
2011-02-15,0.6370344050497714,10.362138175115927,-0.1265283550814819,-1.19443084791507
2011-02-16,0.6330358533899656,10.507251955921104,-0.12354124254200768,-1.227086710078256
2011-02-17,0.6301621496594716,10.646830248762505,-0.12100277188603603,-1.2584253901003402
2011-02-18,0.6287983920298367,10.778680703426543,-0.11873428882554682,-1.2879984244601956
2011-02-21,0.6274840896739418,10.893568322637655,-0.11659079089093503,-1.3137926222183653
2011-02-22,0.6268268529622115,10.984656693544188,-0.11490947104310695,-1.3342248093670215
2011-02-23,0.6263821454301586,11.083854814701857,-0.11302806257686697,-1.3564855514645946
2011-02-24,0.6270522656587096,11.160304293721122,-0.1113672126104251,-1.3736790958615928
2011-02-25,0.62863398698058,11.246690279465406,-0.1094018646341601,-1.3931285236013213
2011-02-28,0.6303916789190425,11.334404244294804,-0.10738158788740573,-1.412886073633015
2011-03-01,0.6342779071941609,11.452797640069313,-0.10504768634044176,-1.4394720953412097
2011-03-02,0.6373024552615902,11.555080890439758,-0.10288148754586643,-1.462468240580092
2011-03-03,0.6402924698811892,11.6564877457302,-0.10079157898001286,-1.4852660418006527
2011-03-04,0.6452626684675196,11.755916305355143,-0.09875215230095571,-1.5076068196464967
2011-03-07,0.6485165477608026,11.845667286650686,-0.0968185235286651,-1.5277959409978854
2011-03-08,0.6515683513816297,11.931315263564397,-0.09449956349963509,-1.5471625138983904
2011-03-09,0.6554501491955735,12.004108671597288,-0.09226008923469434,-1.5636685027328572
2011-03-10,0.659166665029201,12.058345031865965,-0.09017350271521304,-1.5760508576437384
2011-03-11,0.6611992475381472,12.111610218541507,-0.08756379686244885,-1.5883398462138913
2011-03-14,0.6629483938023094,12.169802002717258,-0.08482869042672693,-1.6017534025429854
2011-03-15,0.6635332473274946,12.198222289614087,-0.08271749658022257,-1.608463257014092
2011-03-16,0.6646084641560362,12.238296863091694,-0.08021222527273636,-1.617841209188527
2011-03-17,0.6665941028966778,12.281929586300755,-0.0773157612211397,-1.6280908382581583
2011-03-18,0.6702336534001805,12.343686024927802,-0.0744459596235683,-1.6423265871038866
2011-03-21,0.6739736566836615,12.416938416556631,-0.07153694436269722,-1.659114856080579
2011-03-22,0.6765172273786205,12.489207784089881,-0.06844385710215059,-1.6757351588717715
2011-03-23,0.6793533924717972,12.589514254820287,-0.06497088995330139,-1.698627211149811
2011-03-24,0.6825152152662506,12.66649098032978,-0.06165652560962113,-1.716336698760371
2011-03-25,0.6858951818738486,12.735410272342689,-0.05894910422714468,-1.732120341124618
2011-03-28,0.6890166188694606,12.800689783590876,-0.05614287367808109,-1.7471260488446068
2011-03-29,0.6923323318699646,12.868555257399608,-0.053356589284526086,-1.7626995912824706
2011-03-30,0.697423685881649,12.944067731256522,-0.050244538639117244,-1.7800286521743873
2011-03-31,0.7034562698492043,13.02411251958755,-0.047009283718489565,-1.7983804448697034
2011-04-01,0.7102340332634878,13.106603459037029,-0.04333741062411937,-1.8173807189822468
2011-04-04,0.716387588537855,13.172858770940152,-0.040278390852021735,-1.8326517672583993
2011-04-05,0.7247842247013033,13.253630962307497,-0.0367707728136821,-1.8512070111326961
2011-04-06,0.7323629412285072,13.324911825728233,-0.03319921242871158,-1.8676835986064992
2011-04-07,0.7417196808174995,13.411412292237868,-0.029286053635952845,-1.887595701601746
2011-04-08,0.7511213961667567,13.483276980287037,-0.025974914042139016,-1.9041390587065445
2011-04-11,0.7598824324732613,13.538258673078653,-0.02253728537532146,-1.9169849516164408
2011-04-12,0.7673207511921714,13.584991200061939,-0.01932469283947203,-1.9279663711459947
2011-04-13,0.7762384307240784,13.637972135085445,-0.015790825480097775,-1.9403946675680905
2011-04-14,0.7820780374955949,13.666729901967273,-0.01378049212807661,-1.947132372992559
2011-04-15,0.7872879385762727,13.6948549934281,-0.011842358783559784,-1.953712616380467
2011-04-18,0.7940181354678225,13.740273800671016,-0.01006286651659316,-1.964055605393722
2011-04-19,0.8004495481224552,13.774478327201237,-0.008561620519055638,-1.9718700118296222
2011-04-20,0.8058075095611061,13.79822100986742,-0.007054557651772028,-1.9773869648871012
2011-04-21,0.810476632134165,13.802498240807765,-0.0058334528856671675,-1.9785410632373785
2011-04-22,0.8136083555874096,13.802755513148611,-0.004992645399835752,-1.9787291055171141
2011-04-25,0.8151942744622094,13.81663653073359,-0.004928168213319636,-1.9817997459414647
2011-04-26,0.8166458103391111,13.821244465181376,-0.004854161177626267,-1.982824711815466
2011-04-27,0.8190346354890007,13.845278719262224,-0.004144266399943149,-1.9882514491789134
2011-04-28,0.8214534415724889,13.869678587225732,-0.004000940978763315,-1.9936635830310898
2011-04-29,0.8241934195481264,13.910720164942024,-0.0040002474112090305,-2.0027274490755533
2011-05-02,0.826628399441812,13.928878635401116,-0.0039206089372318224,-2.0067492815860737
2011-05-03,0.8289201607464437,13.95373908610356,-0.004037324010263077,-2.012228186466737
2011-05-04,0.8306303275510987,13.971613611503656,-0.004252004742642668,-2.0161509780800784
