date,e_dbeta,beta_real,beta_dollar,z_combined_sq
2022-01-03,0.9680815516555666,-0.07233326566077858,-1.52853488737798,0.6808155165556669
2022-01-04,0.9378878808337221,-0.07371992250224971,-1.5336401349084572,0.6881081891271577
2022-01-05,0.9052163855959235,-0.07372594601463639,-1.5187453711174859,0.6516481777250847
2022-01-06,0.8741070427282701,-0.07346946695356257,-1.5203544777619291,0.6563325259830165
2022-01-07,0.8439509020633276,-0.07379109558608711,-1.5202131301640984,0.6550063185531724
2022-01-10,0.8152458330837048,-0.07305342188893031,-1.5212096561180433,0.6598727614433094
2022-01-11,0.7870581594964257,-0.07265766959340436,-1.5182184564622483,0.65424326695841
2022-01-12,0.7584054258504728,-0.07285607728829233,-1.510925059373994,0.6359515075190202
2022-01-13,0.7314741572363882,-0.07265164623827093,-1.5143163890154518,0.6448961505795661
2022-01-14,0.7056614272662671,-0.07276298239592721,-1.515438808414733,0.6471135758555686
2022-01-17,0.679802964326956,-0.0721100656328809,-1.5084938350348107,0.6335570864417684
2022-01-18,0.6549556922815353,-0.07218651249516247,-1.509048774947109,0.6344930318151684
2022-01-19,0.6294433892849592,-0.0712064559452095,-1.4964770519494763,0.6104728411825221
2022-01-20,0.6133348494649845,-0.07006795537456903,-1.5482505582557304,0.7440827865668137
2022-01-21,0.5992394887593862,-0.07034991190554277,-1.5592197925799098,0.7701849044140602
2022-01-24,0.5877848670351847,-0.0687636033407575,-1.5689904166634232,0.8088473483629037
2022-01-25,0.5659423110041514,-0.06966656136981135,-1.499466991723503,0.6283919975482162
2022-01-26,0.5439547738833773,-0.06971644348283199,-1.4923255385335872,0.6114880140033786
2022-01-27,0.5200332023695712,-0.07189732257899552,-1.4760567450598727,0.5602286685890008
2022-01-28,0.5012124194917009,-0.07092961114908031,-1.5075379323022533,0.6380849762647492
2022-01-31,0.483940698511149,-0.0698111997333431,-1.5114362100112309,0.6554011770484881
2022-02-01,0.46788998564797796,-0.0694604849392178,-1.5156509231522333,0.6683330641016273
2022-02-02,0.452498687661885,-0.06934809146044543,-1.5163865389320241,0.671048783726849
2022-02-03,0.43759735295435764,-0.0693460065784551,-1.5162288663865393,0.6706877806756896
2022-02-04,0.42268314853637484,-0.06855537394294872,-1.5084091288776886,0.6591797386960326
2022-02-07,0.4074422420378217,-0.0667674723183754,-1.4917378058564776,0.6394247901453419
2022-02-08,0.3931289820838352,-0.06724256140413726,-1.498132133275516,0.6487045652802512
2022-02-09,0.3785076066895065,-0.06743745352092448,-1.4901115604531991,0.6280768892482564
2022-02-10,0.3658014952791843,-0.06760208005837903,-1.506489733429587,0.6643102757840975
2022-02-11,0.35287534968477846,-0.06807884230505581,-1.5010776346975294,0.6466349711189545
2022-02-14,0.3375740895938395,-0.0712551492485494,-1.477184401791817,0.566383423931212
2022-02-15,0.32186326878349125,-0.06980381521632065,-1.4579634519171354,0.5345963658155437
2022-02-16,0.2986371093443682,-0.07711708551223138,-1.3330785727990926,0.27838428016628886
2022-02-17,0.2780113561300372,-0.07703338319528336,-1.3522275208256667,0.3093372334197483
2022-02-18,0.2588460019914075,-0.07785291656003548,-1.3521151892564414,0.3106269324600814
2022-02-21,0.24077548026163864,-0.07720848667794832,-1.3475747598409886,0.30188136611170174
2022-02-22,0.22407504580948737,-0.07627281175052457,-1.3508177337421086,0.30638973561577987
2022-02-23,0.21156648379765602,-0.07574521575990097,-1.4249715394604365,0.44176907488099604
2022-02-24,0.19959113456861038,-0.07572645603686301,-1.4210341109299032,0.43396756357216915
2022-02-25,0.18620500377293336,-0.07529848776536645,-1.3642155104382105,0.3293223757353088
2022-02-28,0.1728028869210692,-0.07666147398439949,-1.3345724987165484,0.28024937137525546
2022-03-01,0.16152598579547345,-0.07330591536506385,-1.3721036452819544,0.3474124578285153
2022-03-02,0.14980750413166688,-0.07955212695254715,-1.32602621211801,0.2745141528716827
2022-03-03,0.13900105145224786,-0.08012926879754373,-1.3268817226767826,0.2786441011712492
2022-03-04,0.12889705634993676,-0.08000662119297416,-1.3237001332574143,0.2730993761020433
2022-03-07,0.11899472025677992,-0.08337191733755506,-1.277952534940093,0.2317639848753854
2022-03-08,0.10931736799968521,-0.0850868350326561,-1.2261532532498367,0.18674103891232877
2022-03-09,0.10044861518475968,-0.08755870760972917,-1.1966513448092446,0.18871511661796808
2022-03-10,0.09327424291694221,-0.09670314325149787,-1.0584156801915547,0.28576693121937957
2022-03-11,0.08657403417076882,-0.09670685671331347,-1.045114367995352,0.2816657057040177
2022-03-14,0.08008651503941462,-0.09524324196783543,-1.0639915475417883,0.2506391560132859
2022-03-15,0.0740950562797053,-0.09531466790607832,-1.0625885492118325,0.2518767039918495
2022-03-16,0.06889760084885231,-0.09710125626817878,-1.0644845714986313,0.2985422116108763
2022-03-17,0.06376354719801054,-0.09518819249289161,-1.0777772843423121,0.25482838479312586
2022-03-18,0.058519417075443524,-0.09260288840908687,-1.0145575111407772,0.17756612468845664
2022-03-21,0.053651492588848514,-0.09223694134165882,-0.9990220709957307,0.16815225956211075
2022-03-22,0.04872538661292474,-0.087223394515729,-1.010968266002658,0.08183244524539804
2022-03-23,0.04426912385525566,-0.08745984933246084,-1.0123705298471992,0.08543306324694493
2022-03-24,0.04026675206944365,-0.08810023080038604,-1.018122834541916,0.09589993267127919
2022-03-25,0.03657649213827422,-0.08727954288910092,-1.0171889525979125,0.0835466628137177
2022-03-28,0.03319543846725532,-0.08669830377459861,-1.0183937149756397,0.07562112346992587
2022-03-29,0.030107812631257988,-0.08580349592330176,-1.0446620413951642,0.06986442157014121
2022-03-30,0.027297192268871343,-0.08570427057808931,-1.0365562950289973,0.06648138248719855
2022-03-31,0.02473946428682865,-0.08549459236431049,-1.032720004569331,0.0630069360798596
2022-04-01,0.02241852794727065,-0.0854149369761279,-1.0318386653189042,0.061848586271258714
2022-04-04,0.020294931681355276,-0.08455359230644816,-1.0349908121002553,0.05274946200296022
2022-04-05,0.018344001291512334,-0.08325673050487022,-1.0305802101112829,0.038710540900592984
2022-04-06,0.01657192881096613,-0.08288723303965465,-1.0236757894606736,0.03397712833451489
2022-04-07,0.014948207486165674,-0.0813032292092898,-1.0146403168529643,0.020197743230717193
2022-04-08,0.013470667465603034,-0.0801774964462188,-0.9977358760890878,0.011560401519665534
2022-04-11,0.012136399430781713,-0.07982322486764845,-0.9935606025075129,0.009501171171855664
2022-04-12,0.010932194874557172,-0.0794961656269634,-0.9886273179719574,0.007774453129568196
2022-04-13,0.00984876145575531,-0.07967405852152348,-0.9961828806056084,0.00895160465592284
2022-04-14,0.008871898095972556,-0.07936988856302084,-1.002834048032366,0.008135830915160569
2022-04-15,0.007990616300547784,-0.07914761060149572,-0.9958319466844807,0.00665924485219533
2022-04-18,0.0071969104067160896,-0.07916009004779725,-0.9957319864917712,0.006702532097202176
2022-04-19,0.006482047425112853,-0.0791636305696577,-0.9956040196938493,0.0067085162875810565
2022-04-20,0.00584130518488676,-0.08004565909831465,-1.0048996651498696,0.011512569711043056
2022-04-21,0.005260536804917512,-0.07897701014949945,-0.9913495071526591,0.005755800138856034
2022-04-22,0.004737224690600679,-0.07883486354588606,-0.9908171267969237,0.005211571131595207
2022-04-25,0.0042667442430394855,-0.07923219843275035,-0.9931571863666858,0.006843714855468569
2022-04-26,0.0038429726580801005,-0.0788091604338612,-1.0104066290240663,0.006803406014548954
2022-04-27,0.00346091936129874,-0.07868739147342715,-1.0058791676989696,0.005839149081457671
2022-04-28,0.0031172722488860528,-0.07880377342347986,-1.0124851364734773,0.007064087492263029
2022-04-29,0.0028080298470143546,-0.07936901978258953,-1.0010838419492165,0.00797114534283856
2022-05-02,0.002528652810141029,-0.07834877458038764,-1.0085871848004582,0.0050781078043982296
2022-05-03,0.0022778160295974016,-0.07903850789079656,-1.0131432765998067,0.008022060056407244
2022-05-04,0.0020514270075987304,-0.07875454104285148,-1.0062784154611262,0.006113667403225885
2022-05-05,0.001847460940945329,-0.07870128847719791,-1.004463170967481,0.005735685949892197
2022-05-06,0.0016629807244506014,-0.07745947397994099,-0.9892727346088983,0.001439151399161411
2022-05-09,0.0014969886536707591,-0.07754136074448477,-0.9945525425078203,0.0018400794472181884
2022-05-10,0.001347957961387547,-0.07803151572051742,-1.0106384668130626,0.00446344788402748
2022-05-11,0.001213901635342581,-0.07821990369344911,-1.0143632982387965,0.005485854269723174
2022-05-12,0.0010927878961947432,-0.07721787936760635,-1.0062468919943761,0.002277156388726714
2022-05-13,0.000984025031573726,-0.07721729999049547,-1.0227360903159846,0.004721181486850073
2022-05-16,0.0008857397230210771,-0.07702237836160167,-0.9973149267050043,0.001190971783882771
2022-05-17,0.0007973344231361802,-0.07732094722365249,-1.0008409362020558,0.0019043113098190978
2022-05-18,0.0007178253979041728,-0.07808284434484801,-0.9739365043081083,0.002814591658138973
2022-05-19,0.0006461007701777349,-0.07711853272250116,-0.9767005420785427,0.0008067708964932453
2022-05-20,0.0005817391160166861,-0.07553774416671308,-1.0220178349152296,0.00384495527929032
