date,ic,p,n_cross
2019-07-31,-0.5499999999999999,0.12497678418833195,9
2019-08-31,-0.13333333333333333,0.7323675052362973,9
2019-09-30,0.11666666666666665,0.765007942926146,9
2019-10-31,0.11666666666666665,0.765007942926146,9
2019-11-30,-0.06666666666666667,0.8646897846262036,9
2019-12-31,-0.2833333333333333,0.46003032896572005,9
2020-01-31,-0.26666666666666666,0.48792227483870076,9
2020-02-29,0.08333333333333334,0.831214097710308,9
2020-03-31,0.09999999999999999,0.797971695234851,9
2020-04-30,-0.18333333333333335,0.6368198117628943,9
2020-05-31,0.6,0.0876228290414025,9
2020-06-30,0.0,1.0,9
2020-07-31,0.016666666666666666,0.9660548039946862,9
2020-08-31,-0.7666666666666667,0.01594401657897403,9
2020-09-30,-0.43333333333333335,0.24395243588005172,9
2020-10-31,-0.5499999999999999,0.12497678418833195,9
2020-11-30,0.13333333333333333,0.7323675052362973,9
2020-12-31,-0.7166666666666667,0.02981803569584527,9
2021-01-31,-0.35,0.35581957250178897,9
2021-02-28,-0.03333333333333333,0.9321567355405039,9
2021-03-31,0.26666666666666666,0.48792227483870076,9
2021-04-30,0.21666666666666667,0.5755148957119259,9
2021-05-31,0.33333333333333337,0.38071318167686347,9
2021-06-30,0.9,0.0009430623223403286,9
2021-07-31,0.049999999999999996,0.8983528043506303,9
2021-08-31,-0.39999999999999997,0.286105101908313,9
2021-09-30,0.7666666666666667,0.01594401657897403,9
2021-10-31,-0.38333333333333336,0.3084952723803716,9
2021-11-30,0.06666666666666667,0.8646897846262036,9
2021-12-31,-0.2333333333333333,0.5456987782182728,9
2022-01-31,-0.5833333333333334,0.09918581647988327,9
2022-02-28,-0.31666666666666665,0.406397014486386,9
2022-03-31,0.03333333333333333,0.9321567355405039,9
2022-04-30,-0.21666666666666667,0.5755148957119259,9
2022-05-31,0.4666666666666666,0.2053863511058121,9
2022-06-30,-0.6,0.0876228290414025,9
2022-07-31,0.4666666666666666,0.2053863511058121,9
2022-08-31,0.39999999999999997,0.286105101908313,9
2022-09-30,0.19999999999999998,0.6059012741795534,9
2022-10-31,0.16666666666666669,0.668231040071504,9
2022-11-30,0.39999999999999997,0.286105101908313,9
2022-12-31,-0.6333333333333333,0.0670857868923457,9
2023-01-31,0.0,1.0,9
2023-02-28,0.7999999999999999,0.009627924725379839,9
2023-03-31,0.09999999999999999,0.797971695234851,9
2023-04-30,0.2333333333333333,0.5456987782182728,9
2023-05-31,-0.08333333333333334,0.831214097710308,9
2023-06-30,0.08333333333333334,0.831214097710308,9
2023-07-31,-0.016666666666666666,0.9660548039946862,9
2023-08-31,0.11666666666666665,0.765007942926146,9
2023-09-30,-0.13333333333333333,0.7323675052362973,9
2023-10-31,-0.5499999999999999,0.12497678418833195,9
2023-11-30,-0.5166666666666667,0.15439012098622507,9
2023-12-31,0.19999999999999998,0.6059012741795534,9
2024-01-31,-0.21666666666666667,0.5755148957119259,9
2024-02-29,-0.35,0.35581957250178897,9
2024-03-31,0.016666666666666666,0.9660548039946862,9
2024-04-30,-0.38333333333333336,0.3084952723803716,9
2024-05-31,-0.2333333333333333,0.5456987782182728,9
2024-06-30,-0.45,0.22421610749233675,9
2024-07-31,-0.5166666666666667,0.15439012098622507,9
2024-08-31,-0.09999999999999999,0.797971695234851,9
2024-09-30,-0.65,0.058073058017148654,9
2024-10-31,-0.19999999999999998,0.6059012741795534,9
2024-11-30,0.6,0.0876228290414025,9
2024-12-31,-0.38333333333333336,0.3084952723803716,9
2025-01-31,0.7166666666666667,0.02981803569584527,9
2025-02-28,0.0,1.0,9
2025-03-31,0.5499999999999999,0.12497678418833195,9
2025-04-30,0.18333333333333335,0.6368198117628943,9
2025-05-31,0.18333333333333335,0.6368198117628943,9
2025-06-30,0.15,0.7000942309691418,9
2025-07-31,0.0,1.0,9
2025-08-31,0.25,0.5164895523012261,9
2025-09-30,0.26666666666666666,0.48792227483870076,9
2025-10-31,-0.25,0.5164895523012261,9
2025-11-30,-0.35,0.35581957250178897,9
2025-12-31,-0.18333333333333335,0.6368198117628943,9
2026-01-31,0.5333333333333333,0.13922686754397812,9
2026-02-28,-0.8166666666666667,0.00722478524635879,9
2026-03-31,-0.2833333333333333,0.46003032896572005,9
2026-04-30,0.13333333333333333,0.7323675052362973,9
