,USDKRW_yoy,AG_yoy,KOSPI_ret,RETAIL_yoy
2018-01-31,,,,
2018-02-28,,,-0.05419916928376045,
2018-03-31,,,0.00761732911475832,
2018-04-30,,,0.02842774495574152,
2018-05-31,,,-0.03672208572859759,
2018-06-30,,,-0.039983326523621465,
2018-07-31,,,-0.013270969378323616,
2018-08-31,,,0.012033495116021697,
2018-09-30,,,0.0086917963906874,
2018-10-31,,,-0.1337476046383591,
2018-11-30,,,0.03309372367208785,
2018-12-31,,,-0.026620756750569963,
2019-01-31,0.03399403249259514,0.03055875069331737,0.08025810371183306,
2019-02-28,0.03308346422783148,-0.08131511195316798,-0.004267864027031276,
2019-03-31,0.07033893707332872,-0.075640854387095,-0.024947163211019197,
2019-04-30,0.08771804467423228,-0.15855549415856907,0.029392666781895338,
2019-05-31,0.1004028506999588,-0.037119382139961576,-0.07344832750194008,
2019-06-30,0.03128842816966215,0.10099156181390345,0.043531497644166084,
2019-07-31,0.06663379848541484,-0.03291037323634338,-0.04978363105574901,
2019-08-31,0.08221801696388376,-0.029802700109301417,-0.028035859820700892,
2019-09-30,0.08024272950717726,0.043627368335011685,0.04840963720722247,
2019-10-31,0.022853125706139732,0.06043184388747913,0.009902813795109155,
2019-11-30,0.05370538502931166,0.017584490907959438,0.0021502486224969086,
2019-12-31,0.035877385116892535,0.07049281489138659,0.052544110040422254,
2020-01-31,0.07044183509214386,0.011512671706505717,-0.03579245291604283,
2020-02-29,0.08627933379449515,0.052264368084631974,-0.06229324071146447,
2020-03-31,0.07034405422941914,0.059683112881234957,-0.11694455488397137,
2020-04-30,0.04272471395443955,0.04101658600746161,0.10994847946017416,
2020-05-31,0.03541793504381885,-0.08881905939020052,0.04212450450820504,
2020-06-30,0.03702841810878699,-0.09769068564932903,0.03879089475758768,
2020-07-31,0.0027395873249633773,-0.036597318700736126,0.06689654845304105,
2020-08-31,-0.016667214410274744,0.09229079932040074,0.03414289334346954,
2020-09-30,-0.02856424933482893,0.08762057920411959,0.000739412854606325,
2020-10-31,-0.029371773717275618,0.11475820603050813,-0.026092298175600992,
2020-11-30,-0.06174973288919616,0.16887858881911133,0.1429945085239177,
2020-12-31,-0.06047471190993936,0.25901408948900917,0.10887417320768389,
2021-01-31,-0.06303487125351692,0.39201569365226874,0.035754679881815354,
2021-02-28,-0.07609947020332053,0.4398400541100813,0.012344559019692669,
2021-03-31,-0.0735292361831622,0.42894907242074853,0.016087223485288682,
2021-04-30,-0.08766155477424398,0.832354793280506,0.02823526337451243,
2021-05-31,-0.10036001948410767,0.6722373572289944,0.017808924157999284,
2021-06-30,-0.05740204626344492,0.6845047167481073,0.028952033758645523,
2021-07-31,-0.03988034326963219,0.5346934914093204,-0.02862273560066486,
2021-08-31,-0.024118819871841835,0.3953363716233964,-0.0009524344849984878,
2021-09-30,0.017133771764666905,0.2969246297380521,-0.040774926780171694,
2021-10-31,0.03350978728260623,0.291365060361519,-0.03197971858890403,
2021-11-30,0.07824657268955626,0.23341618929220487,-0.044323185263979825,
2021-12-31,0.09523937935402582,0.14219586574912513,0.04883392450185098,
2022-01-31,0.085786906763478,0.12651608996766406,-0.10555639514382142,
2022-02-28,0.0701079951347705,0.27681221006521906,0.013456787342209342,
2022-03-31,0.07744859174041396,0.3449714360049623,0.02166213442601106,
2022-04-30,0.1496977611746848,0.191177613954431,-0.022700487734121366,
2022-05-31,0.12173662771079297,0.27407678046778505,-0.003395113263204852,
2022-06-30,0.13996989090722045,0.15574856800791448,-0.13152388398674564,
2022-07-31,0.14023047916541742,0.14375335375111753,0.05095514095616993,
2022-08-31,0.15870889422684287,0.18792948523009723,0.008382622883948754,
2022-09-30,0.2081996412511289,0.20324170835704614,-0.12805566230456522,
2022-10-31,0.21782299558877116,0.16517088455326512,0.06407823743093233,
2022-11-30,0.11306415001339887,0.12012546005152003,0.07800803100788722,
2022-12-31,0.05913991566521282,0.10349382417748121,-0.09550136904304507,
2023-01-31,0.019698470520217226,0.038643273158067926,0.08436773385798602,
2023-02-28,0.10083585635498205,-0.15208310879870002,-0.005043132597687516,
2023-03-31,0.06751749691230957,-0.1734317774382348,0.02652879375012951,
2023-04-30,0.05099466543856623,-0.2692636720385,0.009960191532827789,
2023-05-31,0.06442572569874327,-0.3071305087642803,0.030217506885785728,
2023-06-30,0.02745958828012718,-0.20228022291411463,-0.004982305829763334,
2023-07-31,-0.018697956689917583,-0.1587647844348402,0.026635156847146124,
2023-08-31,-0.013127110238696726,-0.24102067606292876,-0.02898677343138667,
2023-09-30,-0.057559636847297035,-0.27169403246419743,-0.035676982478376584,
