Date,A_domestic_food,B_kfood_export,C_retail
2018-01-31,-0.059642679736708816,-0.04730580880957743,-0.10311496860129758
2018-02-28,0.0422199597579234,-0.06562058117800636,0.0021762135955513497
2018-03-31,0.03278460246851463,0.0714062872503763,0.06968829160220676
2018-04-30,0.022733123763094037,-0.0103868570034474,-0.0811922306250404
2018-05-31,0.051072600003574976,0.002355858294275167,0.007997716894977192
2018-06-30,-0.08018207093174963,-0.06833854679430125,-0.09794492780740327
2018-07-31,-0.11218293580313587,0.08791523839092548,-0.043242442993444076
2018-08-31,-0.021448053347981166,-0.0004309249633845565,0.1098351950392767
2018-09-30,-0.07726224959379165,-0.0936007673442298,-0.09029293605386246
2018-10-31,0.12028774546742116,0.05433546177011728,0.07384766444542012
2018-11-30,0.024602786448341425,-0.05531611821369575,-0.012047015658512813
2018-12-31,0.026791261247783565,0.10949381078691423,-0.039024822853030515
2019-01-31,-0.038347414683900495,-0.039104531622357906,0.023199497190180402
2019-02-28,0.01622182045585378,0.10152256252995535,-0.028895225141814602
2019-03-31,-0.04933360385544098,0.028057090695775,0.0
2019-04-30,-0.12034944759402966,-0.06348527713373438,-0.1367891274749626
2019-05-31,0.06205491970971059,-0.03759393412968289,0.03557150481580781
2019-06-30,-0.08056455883227538,-0.0414914699734944,-0.10400836361770056
2019-07-31,-0.020623336129805603,-0.03445419047245372,-0.018023434472991595
2019-08-31,0.052653801945753864,0.06151300079106322,-0.03642456304728111
2019-09-30,0.0071964327242265425,0.04497057485749142,-0.04820158590701085
2019-10-31,0.008681848720170119,-0.03230272565314588,0.06098838173607749
2019-11-30,0.022667786631693183,0.02637726552998476,0.0016175078702084233
2019-12-31,-0.04244766635081495,0.0014727861502055184,-0.10118730442900474
2020-01-31,0.030075187969924772,-0.10497546257926942,-0.10387660387660387
2020-02-29,0.0658537090214419,-0.04871143563439947,-0.10887067698366477
2020-03-31,0.1213661250605842,0.22384916406433572,0.21813230900554847
2020-04-30,0.07403542700201819,0.04382451859466815,-0.03514035807198079
2020-05-31,0.0904244060609618,-0.031940896769953264,-0.1149636083967293
2020-06-30,0.06454166771573806,0.006848763401795151,-0.014624537515654993
