Date,097950,271560,004370,003230,005180,035250,023530,139480,282330
2018-04-30,343000,124500,324000,90100,66500,28900,256000,270000,191000
2018-05-02,345000,127500,327000,91900,65400,29250,254000,271500,206500
2018-05-03,341000,121500,328000,96300,64300,29150,241000,264500,200000
2018-05-04,342500,124000,326500,96500,63500,29050,242500,265500,199000
2018-05-08,342500,125000,319500,93000,63600,29000,234500,261500,200000
2018-05-09,342000,131500,316000,91700,63700,28650,233500,257000,200500
2018-05-10,359500,130500,316500,92200,64700,28650,235500,270000,204500
2018-05-11,356500,133500,320000,92000,64400,28650,239500,261000,196500
2018-05-14,359500,133000,321500,94500,64300,27950,235500,268000,191500
2018-05-15,351500,125000,320500,93200,64000,27950,236500,261500,189000
2018-05-16,354500,132500,319000,97500,63200,27600,240000,259000,186000
2018-05-17,350500,127000,320000,100000,62500,27950,231500,259500,181500
2018-05-18,347500,130000,322000,101500,63400,28150,233000,271500,186500
2018-05-21,346500,127500,322000,104500,62800,27950,228000,277000,185500
2018-05-23,345000,129500,316500,104000,61500,27450,224000,266000,179000
2018-05-24,342500,129000,316500,102500,61700,27600,223000,267000,187000
2018-05-25,337000,130500,316500,98200,61100,27500,217000,262000,185500
2018-05-28,343000,132500,324000,100000,62000,27000,221000,261500,180000
2018-05-29,346500,132500,326500,99300,61400,26900,220000,267000,183500
2018-05-30,340500,129000,327000,100500,60900,26800,216000,260000,177500
2018-05-31,350500,129500,326000,101000,61100,26850,224000,250000,182500
2018-06-01,355500,134500,334500,112000,60500,27000,226000,249000,184500
2018-06-04,357500,144500,348500,113500,61200,26950,227000,242000,188000
2018-06-05,364000,141500,346500,109500,62000,27300,227000,242000,182500
2018-06-07,379000,146000,356000,111500,64100,27400,221500,249500,193500
2018-06-08,372500,148500,350500,110000,63200,28100,216000,248500,196000
2018-06-11,380500,147000,353500,106500,64100,28100,220000,249000,195500
2018-06-12,381500,148500,354500,102500,64800,28850,224000,252000,203500
2018-06-14,372000,145000,351000,102500,63100,28650,218500,247500,199000
2018-06-15,368000,149000,348500,107000,64300,28600,219500,239000,192500
2018-06-18,359000,151500,350000,105000,62500,28800,215000,238000,201000
2018-06-19,353000,149500,340500,100500,61900,28950,208500,242500,209000
2018-06-20,349500,153000,345500,106000,61400,28450,204500,242500,196000
2018-06-21,350000,152000,339500,105000,61700,27300,203500,238000,192000
2018-06-22,350500,154000,350500,106500,61500,27650,203000,239000,195500
2018-06-25,355000,155000,344000,108500,61700,27550,207500,242500,197500
2018-06-26,352000,148000,341000,105000,61600,27050,206500,246000,197000
2018-06-27,347500,146000,341500,106000,61500,26650,207500,248000,188500
2018-06-28,350500,149500,334000,105000,60900,25950,213500,256000,197000
2018-06-29,352500,149000,325000,106000,60100,26150,210000,254500,195000
2018-07-02,347500,145000,311500,109500,59900,25850,205000,248000,187500
2018-07-03,339000,144500,304500,108500,59600,25700,201000,248500,179000
2018-07-04,335500,146000,307000,112500,59800,25750,205000,253500,182000
2018-07-05,330500,142000,303500,107000,59600,25400,205000,248000,176500
2018-07-06,339500,145500,306500,103000,60100,25500,214500,245500,178500
2018-07-09,335500,149000,301000,99900,59900,25850,211500,242000,178500
2018-07-10,336500,146500,300500,97200,59700,25950,214500,245000,179000
2018-07-11,338500,145000,294000,95700,59000,25900,206500,235000,177500
2018-07-12,336000,148500,299000,94800,59500,25900,203500,218500,178500
2018-07-13,342000,147000,298500,97000,59400,25850,203500,220500,179500
2018-07-16,331500,143500,299500,94100,61300,26000,203500,216000,165500
2018-07-17,333000,136500,296500,96400,60500,26350,204000,221000,170000
2018-07-18,330000,134000,296000,95200,60500,27000,203500,227000,163000
2018-07-19,323000,135500,291500,92800,59600,26700,200000,220000,159000
2018-07-20,329500,129500,291000,92700,59700,26800,199000,227000,149500
2018-07-23,332000,131500,293500,87600,60300,26700,198000,228000,150500
2018-07-24,335000,137500,292500,87900,60200,26400,202500,229500,157500
2018-07-25,335000,136000,294500,87600,60000,26600,203500,224500,161000
