# Loaded 8 series, daily returns 1254 obs (5y)

======================================================================
CC1. MCHI vs ACWI (World) 12m rolling β — IMF 가설 '1.2 → 0.2'
======================================================================
month              β      R²     n
2024-09       0.691
2024-10       0.678
2024-11       0.632
2024-12       0.603
2025-01       0.607
2025-02       0.602
2025-03       0.613
2025-04       0.711
2025-05       0.692
2025-06       0.719
2025-07       0.712
2025-08       0.683
2025-09       0.667
2025-10       0.670
2025-11       0.688
2025-12       0.696
2026-01       0.674
2026-02       0.651
2026-03       0.640
2026-04       0.599
2026-05       0.606

======================================================================
CC5. cross-check 요약 통계
======================================================================
MCHI β vs World: min=0.84 max=1.26 mean=1.00 range=0.41
EMXC β vs World: min=0.75 max=1.44 mean=0.89 range=0.69
KWEB β vs DXY  : min=-2.48 max=-0.37 mean=-1.65
MCHI multi-R² : min=0.10 max=0.40 mean=0.23
EMXC multi-R² : min=0.60 max=0.74 mean=0.68

시점 비교 (IMF/MS claim 핵심 시점):
  MCHI β vs World      first((2022, 6))=+1.12  2022-12=+1.01  last((2026, 5))=+1.01
  EMXC β vs World      first((2022, 6))=+0.82  2022-12=+0.77  last((2026, 5))=+1.44
  MCHI multi-R²        first((2022, 6))=0.20  2022-12=0.24  last((2026, 5))=0.35
  EMXC multi-R²        first((2022, 6))=0.69  2022-12=0.73  last((2026, 5))=0.61
  KWEB β vs DXY        first((2022, 6))=-2.06  2022-12=-2.48  last((2026, 5))=-1.06

# Done.
