date,price
2021-06-01,59.0152473449707
2021-06-02,59.10017776489258
2021-06-03,58.68397521972656
2021-06-04,59.16814041137695
2021-06-07,59.43993377685547
2021-06-08,59.43143081665039
2021-06-09,59.32951354980469
2021-06-10,59.405948638916016
2021-06-11,59.6013069152832
2021-06-14,59.75419235229492
2021-06-15,59.762691497802734
2021-06-16,59.17661666870117
2021-06-17,58.63301086425781
2021-06-18,57.48634338378906
2021-06-21,58.34511947631836
2021-06-22,58.36229705810547
2021-06-23,58.00160598754883
2021-06-24,58.55982208251953
2021-06-25,58.680049896240234
2021-06-28,58.22488021850586
2021-06-29,58.25923156738281
2021-06-30,57.76115798950195
2021-07-01,58.10466384887695
2021-07-02,58.267826080322266
2021-07-06,57.89854431152344
2021-07-07,58.25923156738281
2021-07-08,57.512107849121094
2021-07-09,58.422401428222656
2021-07-12,58.705810546875
2021-07-13,58.3365364074707
2021-07-14,58.430992126464844
2021-07-15,57.80409240722656
2021-07-16,57.41764831542969
2021-07-19,56.24970245361328
2021-07-20,56.584625244140625
2021-07-21,57.666683197021484
2021-07-22,57.76115798950195
2021-07-23,58.25923156738281
2021-07-26,58.4825325012207
2021-07-27,58.353702545166016
2021-07-28,58.65427780151367
2021-07-29,59.10943603515625
2021-07-30,58.834625244140625
2021-08-02,59.10943603515625
2021-08-03,59.538818359375
2021-08-04,59.487300872802734
2021-08-05,59.79643630981445
2021-08-06,59.470096588134766
2021-08-09,59.42717742919922
2021-08-10,59.590335845947266
2021-08-11,60.0025520324707
2021-08-12,59.985382080078125
2021-08-13,60.440513610839844
2021-08-16,60.114192962646484
2021-08-17,59.63328552246094
2021-08-18,59.470096588134766
2021-08-19,58.774513244628906
2021-08-20,59.10943603515625
2021-08-23,59.62468338012695
2021-08-24,59.667640686035156
2021-08-25,59.74492645263672
2021-08-26,59.39282989501953
2021-08-27,60.062660217285156
2021-08-30,60.062660217285156
2021-08-31,59.899505615234375
2021-09-01,60.320289611816406
2021-09-02,60.629459381103516
2021-09-03,60.41475296020508
2021-09-07,60.182884216308594
2021-09-08,59.55598831176758
2021-09-09,59.37565231323242
2021-09-10,59.20389175415039
2021-09-13,59.547393798828125
2021-09-14,59.39282989501953
2021-09-15,59.401397705078125
2021-09-16,59.37565231323242
2021-09-17,58.430992126464844
2021-09-20,57.29257583618164
2021-09-21,57.88855743408203
2021-09-22,58.44136047363281
2021-09-23,59.22737121582031
2021-09-24,58.527732849121094
2021-09-27,58.44136047363281
2021-09-28,57.067989349365234
2021-09-29,56.86933135986328
2021-09-30,56.6706657409668
2021-10-01,57.024810791015625
2021-10-04,56.731136322021484
2021-10-05,57.007530212402344
2021-10-06,56.63611602783203
2021-10-07,57.05936050415039
2021-10-08,57.09391403198242
2021-10-11,56.75704574584961
2021-10-12,56.98161315917969
2021-10-13,57.828094482421875
2021-10-14,58.467281341552734
2021-10-15,58.90778732299805
2021-10-18,58.6400260925293
2021-10-19,58.9682502746582
2021-10-20,59.21009826660156
2021-10-21,59.20146179199219
