date,price
2021-06-01,41.65203857421875
2021-06-02,41.72905349731445
2021-06-03,41.14710998535156
2021-06-04,41.472312927246094
2021-06-07,42.7389030456543
2021-06-08,42.54206848144531
2021-06-09,42.396583557128906
2021-06-10,42.601009368896484
2021-06-11,42.55787658691406
2021-06-14,42.238739013671875
2021-06-15,41.98859786987305
2021-06-16,41.134681701660156
2021-06-17,40.763790130615234
2021-06-18,40.38426971435547
2021-06-21,40.67753219604492
2021-06-22,40.65165710449219
2021-06-23,40.927669525146484
2021-06-24,41.67808532714844
2021-06-25,41.885093688964844
2021-06-28,41.63495635986328
2021-06-29,41.643577575683594
2021-06-30,41.39344787597656
2021-07-01,41.37619400024414
2021-07-02,41.74708557128906
2021-07-06,41.100189208984375
2021-07-07,41.28131103515625
2021-07-08,40.729286193847656
2021-07-09,41.272682189941406
2021-07-12,41.272682189941406
2021-07-13,40.50502395629883
2021-07-14,41.29856491088867
2021-07-15,41.74708557128906
2021-07-16,41.790218353271484
2021-07-19,40.47914505004883
2021-07-20,40.427398681640625
2021-07-21,40.90179443359375
2021-07-22,41.238189697265625
2021-07-23,41.39344787597656
2021-07-26,42.04035568237305
2021-07-27,42.19561004638672
2021-07-28,42.53199768066406
2021-07-29,42.902896881103516
2021-07-30,42.281864166259766
2021-08-02,42.16110610961914
2021-08-03,42.98915481567383
2021-08-04,42.30773162841797
2021-08-05,42.42849349975586
2021-08-06,42.126609802246094
2021-08-09,41.77296829223633
2021-08-10,42.05759811401367
2021-08-11,42.53199768066406
2021-08-12,42.3336181640625
2021-08-13,42.79939651489258
2021-08-16,42.73038864135742
2021-08-17,42.695884704589844
2021-08-18,43.04952621459961
2021-08-19,42.10935592651367
2021-08-20,41.87646484375
2021-08-23,42.480247497558594
2021-08-24,42.601009368896484
2021-08-25,42.75626754760742
2021-08-26,42.53199768066406
2021-08-27,43.101280212402344
2021-08-30,43.38591766357422
2021-08-31,44.08457946777344
2021-09-01,43.42042541503906
2021-09-02,43.5498046875
2021-09-03,43.403167724609375
2021-09-07,43.498046875
2021-09-08,43.00640106201172
2021-09-09,43.0150260925293
2021-09-10,43.135780334472656
2021-09-13,43.27378845214844
2021-09-14,43.48942947387695
2021-09-15,43.98970031738281
2021-09-16,43.834442138671875
2021-09-17,42.86839294433594
2021-09-20,42.08348083496094
2021-09-21,42.16110610961914
2021-09-22,42.75626754760742
2021-09-23,42.93739700317383
2021-09-24,42.497501373291016
2021-09-27,42.89426803588867
2021-09-28,41.885093688964844
2021-09-29,41.548702239990234
2021-09-30,41.62633514404297
2021-10-01,41.85921859741211
2021-10-04,41.488319396972656
2021-10-05,41.51420211791992
2021-10-06,41.427940368652344
2021-10-07,41.272682189941406
2021-10-08,41.44519805908203
2021-10-11,41.324440002441406
2021-10-12,41.67808532714844
2021-10-13,42.09210205078125
2021-10-14,42.2301139831543
2021-10-15,43.196163177490234
2021-10-18,42.97190475463867
2021-10-19,43.03227615356445
2021-10-20,43.196163177490234
2021-10-21,42.62688064575195
2021-10-22,42.72175979614258
2021-10-25,42.75626754760742
2021-10-26,42.91151809692383
2021-10-27,42.38536834716797
2021-10-28,42.08348083496094
2021-10-29,41.70396041870117
2021-11-01,41.565948486328125
2021-11-02,41.427940368652344
2021-11-03,42.117977142333984
2021-11-04,42.27323532104492
2021-11-05,42.84252166748047
2021-11-08,43.04952621459961
2021-11-09,42.98915481567383
2021-11-10,42.048973083496094
2021-11-11,41.979976654052734
2021-11-12,42.07485580444336
2021-11-15,41.84196853637695
2021-11-16,41.41069793701172
2021-11-17,41.41069793701172
2021-11-18,41.00529479980469
2021-11-19,40.77241516113281
2021-11-22,40.24626159667969
2021-11-23,40.23763656616211
2021-11-24,39.702857971191406
2021-11-26,38.1502799987793
2021-11-29,38.5297966003418
2021-11-30,39.08182907104492
2021-12-01,39.297462463378906
2021-12-02,40.41876983642578
2021-12-03,40.28076171875
2021-12-06,40.19450759887695
2021-12-07,40.98805236816406
2021-12-08,41.28994369506836
2021-12-09,41.350318908691406
2021-12-10,41.471073150634766
2021-12-13,40.60355758666992
2021-12-14,40.970848083496094
2021-12-15,41.39936065673828
2021-12-16,41.91533279418945
2021-12-17,42.70238494873047
2021-12-20,42.308860778808594
2021-12-21,42.571205139160156
2021-12-22,43.14839172363281
2021-12-23,43.4807014465332
2021-12-27,43.97043228149414
2021-12-28,44.02289962768555
2021-12-29,43.891719818115234
2021-12-30,44.32023239135742
2021-12-31,44.250267028808594
2022-01-03,44.09286117553711
2022-01-04,44.19779968261719
2022-01-05,43.935447692871094
2022-01-06,44.11909484863281
2022-01-07,44.39018630981445
2022-01-10,44.110347747802734
2022-01-11,44.1803092956543
2022-01-12,44.941131591796875
2022-01-13,44.85368347167969
2022-01-14,44.83618927001953
2022-01-18,44.18905258178711
2022-01-19,43.655601501464844
2022-01-20,43.40199661254883
2022-01-21,42.92975997924805
2022-01-24,42.23015213012695
2022-01-25,42.020267486572266
2022-01-26,41.82787322998047
2022-01-27,41.32065200805664
2022-01-28,41.41685104370117
2022-01-31,42.45751953125
2022-02-01,43.00846481323242
2022-02-02,43.183372497558594
2022-02-03,42.40505599975586
2022-02-04,42.2126579284668
2022-02-07,42.23015213012695
2022-02-08,43.200862884521484
2022-02-09,43.935447692871094
2022-02-10,43.49819564819336
2022-02-11,44.00540542602539
2022-02-14,43.51567840576172
2022-02-15,44.3552131652832
2022-02-16,44.8886604309082
2022-02-17,44.145328521728516
2022-02-18,43.909210205078125
2022-02-22,44.127838134765625
2022-02-23,43.078426361083984
2022-02-24,42.33509063720703
2022-02-25,43.78678512573242
2022-02-28,44.02289962768555
2022-03-01,43.48944854736328
2022-03-02,43.690582275390625
2022-03-03,43.66434860229492
2022-03-04,42.91226577758789
2022-03-07,41.093284606933594
2022-03-08,41.871604919433594
2022-03-09,43.44572448730469
2022-03-10,43.0434455871582
2022-03-11,42.98223114013672
2022-03-14,42.6499137878418
2022-03-15,43.227088928222656
2022-03-16,44.03164291381836
2022-03-17,45.00234603881836
2022-03-18,45.99054718017578
2022-03-21,45.64948654174805
2022-03-22,46.42780303955078
2022-03-23,46.13921356201172
2022-03-24,46.88255310058594
2022-03-25,46.856319427490234
2022-03-28,46.91753005981445
2022-03-29,47.69584655761719
2022-03-30,47.70458984375
2022-03-31,48.07188415527344
2022-04-01,48.41294860839844
2022-04-04,48.15933609008789
2022-04-05,47.34604263305664
2022-04-06,46.88255310058594
2022-04-07,46.72513961791992
2022-04-08,46.48902130126953
2022-04-11,46.558982849121094
2022-04-12,46.454036712646484
2022-04-13,46.786354064941406
2022-04-14,46.051753997802734
2022-04-18,46.716392517089844
2022-04-19,46.50651550292969
2022-04-20,46.14795684814453
2022-04-21,45.247215270996094
2022-04-22,45.01983642578125
2022-04-25,44.84493637084961
2022-04-26,44.08411407470703
2022-04-27,43.85674285888672
2022-04-28,44.17156219482422
2022-04-29,43.227088928222656
2022-05-02,43.46321487426758
2022-05-03,43.200862884521484
2022-05-04,44.15407180786133
2022-05-05,42.93850326538086
2022-05-06,42.35258483886719
2022-05-09,41.57426834106445
2022-05-10,41.65297317504883
2022-05-11,41.93281555175781
2022-05-12,42.10771942138672
2022-05-13,42.763607025146484
2022-05-16,43.533172607421875
2022-05-17,44.51261901855469
2022-05-18,43.4282341003418
2022-05-19,44.38144302368164
2022-05-20,44.69627380371094
2022-05-23,44.61756134033203
2022-05-24,44.77497100830078
2022-05-25,45.124778747558594
2022-05-26,45.44834899902344
2022-05-27,46.48902130126953
2022-05-31,45.535797119140625
2022-06-01,45.16850280761719
2022-06-02,45.03733444213867
2022-06-03,44.801204681396484
2022-06-06,44.15407180786133
2022-06-07,44.311485290527344
2022-06-08,44.145328521728516
2022-06-09,43.60646057128906
2022-06-10,42.088401794433594
2022-06-13,40.87218475341797
2022-06-14,40.392791748046875
2022-06-15,41.120750427246094
2022-06-16,40.18861389160156
2022-06-17,40.667991638183594
2022-06-21,41.17401123046875
2022-06-22,40.79228210449219
2022-06-23,40.56146240234375
2022-06-24,42.01738357543945
2022-06-27,42.22157287597656
2022-06-28,41.82207489013672
2022-06-29,41.5113639831543
2022-06-30,41.360443115234375
2022-07-01,41.24504089355469
2022-07-05,40.552589416503906
2022-07-06,40.53483200073242
2022-07-07,40.43717956542969
2022-07-08,40.8011589050293
2022-07-11,40.11758041381836
2022-07-12,40.07320022583008
2022-07-13,40.05544662475586
2022-07-14,39.41626739501953
2022-07-15,40.3484001159668
2022-07-18,40.4460563659668
2022-07-19,40.53483200073242
2022-07-20,40.375030517578125
2022-07-21,40.25962829589844
2022-07-22,40.43717956542969
2022-07-25,40.570343017578125
2022-07-26,40.13534164428711
2022-07-27,40.5792236328125
2022-07-28,41.644527435302734
2022-07-29,41.54686737060547
2022-08-01,40.88106155395508
2022-08-02,39.593814849853516
2022-08-03,40.392791748046875
2022-08-04,40.685752868652344
2022-08-05,40.25075149536133
2022-08-08,41.18288803100586
2022-08-09,41.094120025634766
2022-08-10,41.86646270751953
2022-08-11,42.434627532958984
2022-08-12,43.19810104370117
2022-08-15,42.97615432739258
2022-08-16,43.01166915893555
2022-08-17,42.73646545410156
2022-08-18,42.4790153503418
2022-08-19,42.168304443359375
2022-08-22,41.78656768798828
2022-08-23,42.05289077758789
2022-08-24,41.83094787597656
2022-08-25,42.28371047973633
