date,price
2021-06-01,49.83057403564453
2021-06-02,49.91066360473633
2021-06-03,49.37677001953125
2021-06-04,49.821685791015625
2021-06-07,49.57252502441406
2021-06-08,49.332279205322266
2021-06-09,49.18989562988281
2021-06-10,49.58403396606445
2021-06-11,49.41421890258789
2021-06-14,49.54829025268555
2021-06-15,49.20866394042969
2021-06-16,48.53837585449219
2021-06-17,48.80649185180664
2021-06-18,48.46686935424805
2021-06-21,48.672428131103516
2021-06-22,48.44900131225586
2021-06-23,48.743934631347656
2021-06-24,49.1907958984375
2021-06-25,49.601905822753906
2021-06-28,49.64659118652344
2021-06-29,49.61083984375
2021-06-30,49.28910446166992
2021-07-01,49.012046813964844
2021-07-02,48.95841979980469
2021-07-06,48.100440979003906
2021-07-07,48.04682540893555
2021-07-08,47.04584503173828
2021-07-09,47.85913848876953
2021-07-12,47.90382385253906
2021-07-13,47.948509216308594
2021-07-14,48.15407180786133
2021-07-15,48.27025604248047
2021-07-16,47.89488983154297
2021-07-19,47.09053039550781
2021-07-20,47.242469787597656
2021-07-21,47.546329498291016
2021-07-22,47.63570785522461
2021-07-23,46.92966079711914
2021-07-26,46.035926818847656
2021-07-27,45.1064567565918
2021-07-28,46.33086395263672
2021-07-29,46.563232421875
2021-07-30,46.11636734008789
2021-08-02,46.44704818725586
2021-08-03,46.64366912841797
2021-08-04,46.88497543334961
2021-08-05,46.8134765625
2021-08-06,46.420230865478516
2021-08-09,46.572174072265625
2021-08-10,46.63473129272461
2021-08-11,46.759857177734375
2021-08-12,46.34873962402344
2021-08-13,46.23255157470703
2021-08-16,45.81249237060547
2021-08-17,44.9724006652832
2021-08-18,45.04389572143555
2021-08-19,44.275291442871094
2021-08-20,44.239540100097656
2021-08-23,44.90983200073242
2021-08-24,45.92868423461914
2021-08-25,45.9823112487793
2021-08-26,45.54438018798828
2021-08-27,46.10743713378906
2021-08-30,46.205745697021484
2021-08-31,46.84028244018555
2021-09-01,47.439090728759766
2021-09-02,47.22458267211914
2021-09-03,47.474830627441406
2021-09-07,47.75189208984375
2021-09-08,47.054786682128906
2021-09-09,46.96540832519531
2021-09-10,46.91178512573242
2021-09-13,47.03690719604492
2021-09-14,46.64366912841797
2021-09-15,46.63473129272461
2021-09-16,46.10743713378906
2021-09-17,45.91080856323242
2021-09-20,44.67747116088867
2021-09-21,45.00814437866211
2021-09-22,45.57119369506836
2021-09-23,45.92868423461914
2021-09-24,45.383514404296875
2021-09-27,45.67844772338867
2021-09-28,45.08858108520508
2021-09-29,44.66852951049805
2021-09-30,45.02602005004883
2021-10-01,44.98133850097656
2021-10-04,44.319976806640625
2021-10-05,44.632774353027344
2021-10-06,44.38253402709961
2021-10-07,45.249454498291016
2021-10-08,45.41926193237305
2021-10-11,45.32988357543945
2021-10-12,45.0975227355957
2021-10-13,45.72312927246094
2021-10-14,45.86613082885742
2021-10-15,46.420230865478516
2021-10-18,46.30405044555664
2021-10-19,46.92072296142578
2021-10-20,46.91178512573242
2021-10-21,46.6079216003418
2021-10-22,46.50960159301758
2021-10-25,46.75091552734375
2021-10-26,46.50960159301758
2021-10-27,46.13424301147461
2021-10-28,46.178924560546875
2021-10-29,45.50863265991211
2021-11-01,45.86613082885742
2021-11-02,45.455013275146484
2021-11-03,45.66950225830078
2021-11-04,45.562255859375
2021-11-05,45.50863265991211
2021-11-08,45.92868423461914
2021-11-09,45.74993896484375
2021-11-10,45.562255859375
2021-11-11,46.34873962402344
2021-11-12,46.47386169433594
2021-11-15,46.32192611694336
2021-11-16,46.38448715209961
2021-11-17,46.1431770324707
2021-11-18,45.580135345458984
2021-11-19,45.50863265991211
2021-11-22,45.142208099365234
2021-11-23,45.0975227355957
2021-11-24,45.03495407104492
2021-11-26,43.524559020996094
2021-11-29,43.69437026977539
2021-11-30,43.649681091308594
2021-12-01,43.810546875
2021-12-02,44.3467903137207
2021-12-03,43.72117614746094
2021-12-06,44.060794830322266
2021-12-07,44.757904052734375
2021-12-08,44.9366455078125
2021-12-09,44.72215270996094
2021-12-10,44.757904052734375
2021-12-13,44.04808807373047
2021-12-14,43.94837188720703
2021-12-15,43.82146453857422
2021-12-16,43.875850677490234
2021-12-17,43.65829086303711
2021-12-20,43.005584716796875
2021-12-21,43.73080825805664
2021-12-22,43.93931198120117
2021-12-23,44.16593933105469
2021-12-27,44.36537551879883
2021-12-28,44.22032928466797
2021-12-29,44.02089309692383
2021-12-30,44.52519607543945
2021-12-31,44.30751037597656
2022-01-03,44.624969482421875
2022-01-04,44.47077178955078
2022-01-05,43.74516296386719
2022-01-06,43.94470977783203
2022-01-07,44.34379196166992
2022-01-10,44.34379196166992
2022-01-11,45.36871337890625
2022-01-12,46.12153244018555
2022-01-13,45.46849060058594
2022-01-14,45.45034408569336
2022-01-18,44.643104553222656
2022-01-19,44.833580017089844
2022-01-20,45.096614837646484
2022-01-21,44.44356155395508
2022-01-24,43.817726135253906
2022-01-25,43.7360954284668
2022-01-26,43.18281936645508
2022-01-27,42.683963775634766
2022-01-28,42.892574310302734
2022-01-31,44.29844284057617
2022-02-01,44.5705451965332
2022-02-02,44.49798583984375
2022-02-03,44.02634048461914
2022-02-04,44.13518142700195
2022-02-07,44.04447937011719
2022-02-08,44.47077178955078
2022-02-09,45.16917419433594
2022-02-10,44.8698616027832
2022-02-11,44.18960189819336
2022-02-14,43.88121795654297
2022-02-15,44.833580017089844
2022-02-16,45.160099029541016
2022-02-17,44.634037017822266
2022-02-18,44.18960189819336
2022-02-22,43.56376647949219
2022-02-23,43.05583953857422
2022-02-24,42.166961669921875
2022-02-25,42.946990966796875
2022-02-28,42.38465118408203
2022-03-01,41.82229995727539
2022-03-02,41.894859313964844
2022-03-03,41.3053092956543
2022-03-04,40.47085189819336
2022-03-07,38.95614242553711
2022-03-08,39.08312225341797
2022-03-09,40.18967819213867
2022-03-10,39.436859130859375
2022-03-11,38.611480712890625
2022-03-14,37.67726135253906
